Data_Category,Identifier,Technical_Detail,Keywords_20_Plus,Detailed_Interpretation,Source_Reference
House,House 4,Weight: 9.5,"Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology",Emotional roots,MasterMatrix_v3
House,House 5,Weight: 8.0,"Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology",Romance & creativity,MasterMatrix_v3
House,House 6,Weight: 5.0,"Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology",Daily life & service,MasterMatrix_v3
House,House 7,Weight: 10.0,"Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology",Marriage & contracts,MasterMatrix_v3
House,House 8,Weight: 8.0,"Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology",Sexual & psychological merging,MasterMatrix_v3
House,House 9,Weight: 6.0,"Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology",Beliefs & worldview,MasterMatrix_v3
House,House 10,Weight: 9.5,"Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology",Status & destiny,MasterMatrix_v3
House,House 11,Weight: 7.0,"Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology",Future goals,MasterMatrix_v3
House,House 12,Weight: 4.0,"Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology",Subconscious & karma,MasterMatrix_v3
Planet,Sun,Primary Body,"Identity, Vitality, Ego, Leadership, Willpower, Authority, Purpose, Conscious Mind, Creative Fire, Individuation, Radiance, Sovereignty, Centrality, Hero's Journey, Dignity, Recognition, Sustenance, Father-Archetype, Core, Presence",Psychological function of Sun.,Thread_Context
Planet,Moon,Primary Body,"Emotion, Nurture, Security, Habit, Intuition, Instinct, Receptivity, Memory, Lunar Rhythm, Internal Comfort, Psychic Sensitivity, Maternal Bond, Subjectivity, Soul Needs, Reflective Power, Domestic Life, Introspection, Ancestry, Freedom, Moods",Psychological function of Moon.,Thread_Context
Planet,Mercury,Primary Body,"Cognition, Communication, Logic, Perception, Learning, Data Processing, Duality, Intelligence, Neutrality, Adaptability, Language, Neural Pathways, Observation, Mental Dexterity, Synthesis, Exchanges, Technological Interface, Interpretation, Precision, Curiosity",Psychological function of Mercury.,Thread_Context
Planet,Venus,Primary Body,"Values, Aesthetics, Relational Harmony, Attraction, Abundance, Pleasure, Social Grace, Artistry, Affection, Erotic Intelligence, Balance, Symmetry, Sensuality, Magnetic Pull, Companionship, Diplomacy, Luxury, Valuation, Refinement, Cooperation",Psychological function of Venus.,Thread_Context
Planet,Mars,Primary Body,"Drive, Assertiveness, Volition, Combativeness, Sexual Energy, Initiation, Protection, Strategy, Physical Vigor, Competitive Instinct, Desire, Independence, Separation, Courage, Force, Adrenaline, Goal-Orientation, Action, Boundaries, Execution",Psychological function of Mars.,Thread_Context
Zodiac Sign,Aries,Sign,"Initiative, Impulsive, Pioneering, Direct, Impatient, Mover, Self-assertive, Action-first, Leadership, Daring, Combativeness, Eagerness, Physicality, Vitality, Heroism, Instinctive, Beginning, Urgency, Competitive, Candid",Archetypal quality of Aries.,Thread_Context
Zodiac Sign,Taurus,Sign,"Steadiness, Material security, Sensuality, Stubbornness, Craftsmanship, Quality, Resources, Persistence, Body, Values, Reliability, Endurance, Comfort, Possession, Nature, Aesthetics, Practicality, Loyalty, Consistency, Patient",Archetypal quality of Taurus.,Thread_Context
Chart Type,Natal,Methodology,"Birth, Blueprint, Incarnation, Personality, Potential, Life Path, Origins, Destiny, Character, Soul Purpose, Identity, Foundations, Map, Snapshot, Inception, Individuation, Karmic Payload, Biological Clock, Ego-Form, Presence",Astrological technique: Natal.,Synthesized
Chart Type,Synastry,Methodology,"Interaction, Comparison, Relationship, Chemistry, Dynamic, Inter-planetary, Mirroring, Conflict, Harmony, Triggers, Connection, Engagement, Mutual Growth, Bonds, Attraction, Friction, Projection, Polarity, Synthesis, Exchanges",Astrological technique: Synastry.,Synthesized
Chart Type,Composite,Methodology,"Relationship Entity, Third Energy, Midpoint Chart, Union, Purpose of the Bond, Shared Life, Coupling, Container, Combined Will, Relationship Fate, Vessel, Agreement, Contract, Mission, Joint Path, Synergy, Objective Reality, Marriage, Foundation, Structure",Astrological technique: Composite.,Synthesized
Uranian Point,Cupido,Hamburg School Body,"Marriage, Family, Clubs, Societies, Art, Socializing, Aesthetics, Togetherness, Kinship, Union, Community, Harmony, Bonds, Groups, Relationships, Culture, Gatherings, Intercourse, Closeness, Publicity",Specific Uranian influence: Cupido.,Synthesized
Uranian Point,Hades,Hamburg School Body,"Poverty, Dirt, Ugliness, Waste, Decline, Antiquity, Secrets, Sorrow, Death, Loneliness, Occult, Past, Chronic Illness, Shame, Buried things, Decomposition, Shadow, Baseness, Grim, Residue",Specific Uranian influence: Hades.,Synthesized
Arabic Part,Part of Fortune,Mathematical Point,"Fortune, Body, Success, Material Well-being, Luck, Prosperity, Gain, Health, Vitality, Benefit, Resource, Advantage, Opportunity, Stability, Flow, Physicality, Ease, Inheritance, Reward, Wellness",Fated intersection: Part of Fortune.,Synthesized
Arabic Part,Part of Spirit,Mathematical Point,"Soul, Purpose, Will, Spirit, Choice, Action, Aspiration, Intellect, Creative Drive, Ethical Vision, Choice, Initiative, Morality, Conviction, Determination, Inner Light, Divine Spark, Vocation, Mental Power, Intent",Fated intersection: Part of Spirit.,Synthesized
Moon Phase,Full Moon,Lunar Cycle Point,"Culmination, Clarity, Release, Opposition, Fulfillment, Illumination, Peak, High Tide, Tension, Exposure, Externalization, Realization, Emotion, Drama, Visibility, Harvest, Completion, Awareness, Brightness, Shadow-Reveal",Energetic phase: Full Moon.,Synthesized
Moon Phase,New Moon,Lunar Cycle Point,"Seed, Intention, Darkness, Quiet, Beginning, Renewal, Potency, Internalization, Fresh Start, Inception, Conception, Planning, Reset, Void, Emergence, Potential, Silence, Meditation, Inward, Sprout",Energetic phase: New Moon.,Synthesized
Client_Natal,Jimmy_Sun,Capricorn 2Â°53',"Identity, Vitality, Ego, Leadership, Willpower, Authority, Purpose, Conscious Mind, Creative Fire, Individuation, Radiance, Sovereignty, Centrality, Hero's Journey, Dignity, Recognition, Sustenance, Father-Archetype, Core, Presence",Jimmy's core self.,Thread_Context
Client_Natal,Jenny_Sun,Aries 5Â°32',"Initiative, Impulsive, Pioneering, Direct, Impatient, Mover, Self-assertive, Action-first, Leadership, Daring, Combativeness, Eagerness, Physicality, Vitality, Heroism, Instinctive, Beginning, Urgency, Competitive, Candid",Jenny's core self.,Thread_Context
Predictive_Cycle,MR2032_01,Mercury 2032,"Impulse review, Identity dissolution, Spiritual boundaries, Forgiveness, Misdirected anger, Intuitive logic, Ego-loss, Sacrifice, Visionary retreat, Mental fog, Compassion, Subconscious healing, Courageous dreaming, Refining action, Solitude, Psychic sensitivity, Identity crisis, Release, Quietude, Vulnerability",Ego Dissolving Spring,Thread_Context
Predictive_Cycle,MR2032_02,Mercury 2032,"Heartfelt nostalgia, Domestic drama, Security needs, Emotional pride, Family legacy, Creative roots, Nurturing expression, Self-worth audit, Protective speech, Loyalty, Vulnerability, Intimacy, Parental themes, Home renovation, Inner child, Sensitivity, Sentimental review, Ancestry, Belonging, Emotional courage",Domestic Summer,Thread_Context
Predictive_Cycle,MR2032_03,Mercury 2032,"Investigative truth, Deep research, Secretive expansion, Philosophical depth, Psychological audit, Shared resources, Intense inquiry, Unmasking, Transformative wisdom, Taboo review, Ethics, Betrayal, Regeneration, Trust dynamics, Global investigation, Power play, Obsessive thought, Shadow integration, Truth-seeking, Resourcefulness",Investigative Autumn,Thread_Context
