date,time,event,type
2026-07-21,3:47 am PT,Jupiter 4°37 Leo sextiles Uranus 4°37 Gemini,aspect
2026-07-22,10:02 pm PT,Neptune Rx 4°20 Aries sextiles Pluto Rx 4°20 Aquarius,aspect
2026-07-26,5:50 pm PT,"North Node enters Aquarius, South Node enters Leo",nodal shift
2026-07-29,5:11 am PT,Jupiter cazimi 6°24 Leo,cazimi
2026-08-12,10:45 am PT,Solar eclipse 20°01 Leo,eclipse
2026-08-17,2:53 am PT,Mars 3°59 Cancer squares Neptune Rx 3°59 Aries,aspect
2026-08-17,9:10 am PT,Venus 10°37 Libra sextiles Jupiter 10°37 Leo,aspect
2026-08-22,3:03 pm PT,Sun conjoins the South Node 29°49 Leo,aspect
2026-08-25,2:05 am PT,Mercury conjoins the South Node 29°50 Leo,aspect
2026-08-27,10:10 am PT,Mercury cazimi 4°27 Virgo,cazimi
2026-08-27,9:12 pm PT,Lunar eclipse 4°53 Pisces,eclipse
2026-08-31,3:40 pm PT,Jupiter 13°41 Leo trines Saturn Rx 13°41 Aries,aspect
2026-09-01,3:01 am PT,Mars 13°39 Cancer squares Saturn Rx 13°39 Aries,aspect
2026-09-15,7:11 pm PT,Neptune Rx 3°16 Aries sextiles Pluto Rx 3°16 Aquarius,aspect
2026-09-17,6:51 pm PT,Chiron Rx enters Aries,ingress
2026-10-03,,Venus retrograde starts in Scorpio/Libra (until Nov 13),retrograde
2026-10-03,3:39 am PT,Mars 3°06 Leo opposes Pluto Rx 3°06 Aquarius,aspect
2026-10-23,8:50 pm PT,Venus cazimi 0°45 Scorpio,cazimi
2026-10-24,,Mercury retrograde starts in Scorpio (until Nov 13),retrograde
2026-10-25,2:11 am PT,Venus Rx enters Libra,ingress
2026-11-04,2:46 am PT,Venus Rx 24°43 Libra sextiles Jupiter 24°43 Leo,aspect
2026-11-04,6:37 am PT,Mercury cazimi 12°11 Scorpio,cazimi
2026-11-12,12:37 am PT,Jupiter conjoins the South Node 25°32 Leo,aspect
2026-11-14,10:11 am PT,Mars conjoins the South Node 25°12 Leo,aspect
2026-11-28,3:50 am PT,Venus 26°40 Libra sextiles Jupiter 26°40 Leo,aspect
2026-11-29,3:20 am PT,Uranus Rx 3°31 Gemini trines Pluto 3°31 Aquarius,aspect
2026-12-01,9:37 pm PT,Mercury 23°50 Scorpio squares the lunar nodes,aspect
2026-12-04,11:36 am PT,Mars 3°18 Virgo squares Uranus Rx 3°18 Gemini,aspect
2026-12-29,3:05 pm PT,Venus 21°28 Scorpio squares the lunar nodes,aspect
