chart_id,pair_id,tree_name,node_name,aspect,orb,harmonic_layer,score,classification
C014,ALI-SWI,relationship_marriage_tree,JU/VE/CU,trine,0.3,7th,51.38,Strong
C014,ALI-SWI,relationship_marriage_tree,AR/VE/CU,conjunction,0.54,5th,53.38,Strong
C015,GEO-AMA,relationship_marriage_tree,VE/CU,conjunction,0.7,9th,78.71,Very_Strong
C015,GEO-AMA,relationship_marriage_tree,JU/VE/CU,trine,1.09,7th,74.71,Very_Strong
C015,GEO-AMA,relationship_marriage_tree,AR/VE/CU,conjunction,0.62,5th,76.71,Very_Strong
C016,DAX-KRI,relationship_marriage_tree,VE/CU,conjunction,0.38,9th,70.02,Very_Strong
C016,DAX-KRI,relationship_marriage_tree,JU/VE/CU,trine,1.0,7th,66.02,Strong
C016,DAX-KRI,relationship_marriage_tree,AR/VE/CU,conjunction,0.63,5th,68.02,Strong
C017,SER-ALE,relationship_marriage_tree,VE/CU,conjunction,0.51,9th,88.44,Extreme
C017,SER-ALE,relationship_marriage_tree,JU/VE/CU,trine,1.19,7th,84.44,Very_Strong
C017,SER-ALE,relationship_marriage_tree,AR/VE/CU,conjunction,0.95,5th,86.44,Extreme
C018,BEY-JAY,relationship_marriage_tree,VE/CU,conjunction,0.7,9th,57.17,Strong
C018,BEY-JAY,relationship_marriage_tree,JU/VE/CU,trine,0.18,7th,53.17,Strong
C018,BEY-JAY,relationship_marriage_tree,AR/VE/CU,conjunction,0.73,5th,55.17,Strong
C019,SAR-MAT,relationship_marriage_tree,VE/CU,conjunction,0.99,9th,62.71,Strong
C019,SAR-MAT,relationship_marriage_tree,JU/VE/CU,trine,1.17,7th,58.71,Strong
C019,SAR-MAT,relationship_marriage_tree,AR/VE/CU,conjunction,0.36,5th,60.71,Strong
C020,BAR-MIC,relationship_marriage_tree,VE/CU,conjunction,0.7,9th,84.94,Very_Strong
C020,BAR-MIC,relationship_marriage_tree,JU/VE/CU,trine,0.13,7th,80.94,Very_Strong
C020,BAR-MIC,relationship_marriage_tree,AR/VE/CU,conjunction,0.52,5th,82.94,Very_Strong
C021,PRI-NIC,relationship_marriage_tree,VE/CU,conjunction,0.21,9th,81.02,Very_Strong
C021,PRI-NIC,relationship_marriage_tree,JU/VE/CU,trine,0.18,7th,77.02,Very_Strong
C021,PRI-NIC,relationship_marriage_tree,AR/VE/CU,conjunction,0.79,5th,79.02,Very_Strong
C022,JEN-BEN,relationship_marriage_tree,VE/CU,conjunction,0.32,9th,46.14,Moderate
C022,JEN-BEN,relationship_marriage_tree,JU/VE/CU,trine,0.61,7th,42.14,Strong
C022,JEN-BEN,relationship_marriage_tree,AR/VE/CU,conjunction,0.88,5th,44.14,Strong
C023,MIL-ASH,relationship_marriage_tree,VE/CU,conjunction,0.5,9th,79.45,Very_Strong
C023,MIL-ASH,relationship_marriage_tree,JU/VE/CU,trine,0.81,7th,75.45,Very_Strong
C023,MIL-ASH,relationship_marriage_tree,AR/VE/CU,conjunction,0.9,5th,77.45,Very_Strong
C024,KER-NNA,relationship_marriage_tree,VE/CU,conjunction,0.88,9th,68.22,Strong
C024,KER-NNA,relationship_marriage_tree,JU/VE/CU,trine,0.46,7th,64.22,Strong
C024,KER-NNA,relationship_marriage_tree,AR/VE/CU,conjunction,0.47,5th,66.22,Strong
C025,PEN-JAV,relationship_marriage_tree,VE/CU,conjunction,0.9,9th,84.46,Very_Strong
C025,PEN-JAV,relationship_marriage_tree,JU/VE/CU,trine,1.35,7th,80.46,Very_Strong
C025,PEN-JAV,relationship_marriage_tree,AR/VE/CU,conjunction,0.24,5th,82.46,Very_Strong
