MPC Number,Name,Type,Keywords,Interpretation,Declination,Distance AU,Speed,Position,Retrograde,Aspect Direction,Bounds Ruler,Chart Pattern,Chart Type,Classification,Decan,Dignity,Duad,Harmonic Aspects,Hemisphere,House,House Ruler in House,Latitude,Longitude Degrees,Magi Linkages,Midpoints,Mode,Object ID,Planet Parans,Planetary Direction,Planetary Pictures,Quadrant,Ray,Ruler,Sect,Sign,Source,Star Conjunctions,Star Parans,Symbol,Triplicity Ruler
2060,Chiron,Centaur,"Wound, Healing, Self-worth, Identity, Partnerships, Pioneering, Courage, Pain, Teaching, Self-assertion, Independence, Relationship crisis, Shamanism, Directness, Emotional scar, Mentor, Integration","The deepest wound or area of healing (Chiron) is tied to the assertion of self (Aries) within relationships (House 7). The native may feel wounded in their ability to be direct or initiate a partnership, often attracting partners who mirror this wound. The gift lies in becoming a healer or pioneer who helps others define and assert their identities in a partnership context. They must learn self-love to facilitate healing in others.","8°53'8"" N",19.619999,0.0594,"20 ar 21'46""",No,,,,,,,,,,Northern (Above Horizon) / Western,7,,"0°59'55"" N","20°22'21""",,,,,,,,,,Mars,,Aries,,,,,
2063,Bacchus,Asteroid,"Wine, Intoxication, Ecstasy, Liberation, Celebration, Excess, Ritual, Divine madness, Pleasure, Altered states, Hedonism, Freedom, Wildness, Addiction, Transcendence","Represents ecstasy, intoxication, and liberation from constraints. As the Roman god of wine (Greek Dionysus), Bacchus embodies the dissolution of boundaries through altered states, celebration, and connection to primal joy. This asteroid shows where you seek transcendence through pleasure, may struggle with excess or addiction, and experience divine madness. It reveals your relationship to intoxication, ritual ecstasy, and the wild, untamed aspects of consciousness.","-24°24'45""",1.499721818,0.6227429,"13 aq 13'32""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2102,Tantalus,Asteroid,,,"-17°57'43""",2.111597882,0.8825909,"4 ta 54'14""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2212,Hephaistos,Asteroid,,,"25° 8'42""",4.467305808,0.2186589,"26 ta 8'12""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2254,Requiem,Asteroid,,,"9°46' 3""",3.005651384,0.5745227,"19 ar 43'57""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2847,2847 Parvati,Asteroid,,,"18°8'51"" N",,0.4439,,No,,,,,,,,,,,8,,"0°7'23"" N","21°4'27""",,,,,,,,,,,,Taurus,,,,,
2878,Panacea,Asteroid,,,"-34° 2'45""",2.561599824,0.1213214,"4 cp 56' 0""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2938,Hopi,Asteroid,,,"4°43'14""",3.038573009,0.058369,"5 cp 49'15""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3200,Phaethon,Asteroid,,,"24° 7'25""",3.294617379,0.3515343,"8 ta 57'31""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3361,Orpheus,Asteroid,"Music, Poetry, Grief, Loss, Devotion, Artistic expression, Underworld journey, Love beyond death, Creative talent, Melancholy, Looking back, Transcendence, Lyre, Muse, Transformation through art","Embodies music, poetry, and profound loss. Orpheus, the legendary musician who journeyed to the underworld to retrieve his beloved Eurydice, represents the power of art to transcend death and the grief that fuels creative expression. This asteroid shows where you channel pain into beauty, express devotion through creativity, and may struggle with letting go or looking back at the past.","-10°34'21""",0.071530806,-2.9993049,"1 aq 8'18""",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3671,Dionysus,Asteroid,"Theater, Wine, Ecstasy, Liberation, Divine madness, Ritual, Performance, Wildness, Breakdown of ego, Celebration, Maenads, Intoxication, Creative frenzy, Sacred pleasure, Transformation","Embodies divine ecstasy, theatrical expression, and the breakdown of social boundaries. As the Greek god of wine, theater, and religious ecstasy, Dionysus represents liberation through ritual intoxication, the sacred madness of the theater, and the dissolution of rigid identity. This asteroid shows where you access altered consciousness, express dramatic flair, and break free from societal constraints through celebration and creative abandon.","33°15'51""",1.405821166,-0.1173776,"22 le 22'58""",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3811,Karma,Asteroid,,,"5°58' 5""",3.283886988,0.4986869,"8 ar 12'13""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4227,4227 Kaali,Asteroid,,,"4°58'45"" N",,0.4272,,No,,,,,,,,,,,7,,"1°44'15"" S","16°45'6""",,,,,,,,,,,,Aries,,,,,
4450,4450 Pan,Asteroid,,,"17°51'27"" N",,0.4542,,No,,,,,,,,,,,8,,"3°50'24"" N","8°9'7""",,,,,,,,,,,,Taurus,,,,,
4580,Child,Asteroid,,,"1°59'12""",3.89896684,0.389384,"14 ar 39'17""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4581,Asclepius,Asteroid,,,"0°54'38""",1.815129795,1.0889511,"29 pi 58'59""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4946,Askalaphus,Asteroid,,,"20°40' 9""",6.253271379,0.1865733,"26 ta 25'19""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4950,House,Asteroid,,,"1°43' 1""",3.567785493,0.4174927,"25 pi 0'42""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5011,5011 Ptah,Asteroid,,,"28°19'24"" S",,0.2278,,No,,,,,,,,,,,4,,"7°42'32"" S","26°57'45""",,,,,,,,,,,,Capricorn,,,,,
5143,Heracles,Asteroid,,,"14° 3'21""",3.457435097,0.3855083,"21 ar 16'58""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5145,5000 Pholus,Centaur,,,"22°20'23"" S",,0.0406,,No,,,,,,,,,,,5,,"15°25'32"" S","9°13'7""",,,,,,,,,,,,Pisces,,,,,
5145,Pholus,Centaur,,,"-22°20'27""",23.160347321,0.040724,"9 pi 12'43""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5335,Damocles,Damocloid,,,"-0°38' 8""",22.043377977,0.0278226,"23 aq 44' 9""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6235,Burney,Asteroid,,,"7°45' 0""",2.97716504,0.5779043,"15 ar 8'12""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7066,Nessus,Centaur,,,"35°57'32""",23.259720476,0.0266167,"23 ge 42' 5""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8405,Asbolus,Centaur,"Prophecy, Seer, Augury, Burning clarity, Dark vision, Omens, Zeitgeist, Finger on pulse, Soot, Stained, Covered, Misunderstood, Gothic, Deep, Horror, Negative creativity, Inhuman aspects, Unheeded warnings, Bird flight divination, Catastrophe foresight","Asbolus represents prophetic vision, burning clarity, and the ability to read omens in the zeitgeist. Named after the centaur seer who accurately predicted catastrophe but was not heeded, this body embodies dark visionary insight, the capacity to see what others cannot or will not see. Asbolus shows where we possess intuitive foresight about collective trends and coming events, often related to difficult or horrifying truths that others prefer to ignore. This placement indicates being blackened or stained by knowledge, carrying the burden of seeing clearly into shadow. Asbolus teaches that prophecy without action is tragedy - we must find ways to warn and prepare, even when our visions are unwelcome.","31°49'37""",27.464670249,-0.0084724,"9 le 41'49""",Yes,,,,,,,,,,,,,,,,,,,,,,,,Pluto,,,,,,,
9248,Sauer,Asteroid,,,"-15° 1'45""",3.038389304,0.3246675,"14 aq 13' 7""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10199,Chariklo,Centaur,"Holding space, Sanctuary, Safe boundaries, Nurturing outsiders, Unconditional positive regard, Neutral truth, Optimistic, Balanced, Stable, Understanding, Perceptual capacity, Private places, Secret spaces, Art-sciences, Protection, Divine nymph, Supportive presence, Emotional intelligence, Self-expression","Chariklo represents the capacity to hold sacred space for transformation and healing. As the wife of Chiron, this centaur embodies nurturing presence, unconditional positive regard, and the creation of safe sanctuary. Chariklo shows where we provide support for others' growth while maintaining healthy boundaries, offering a stable container for deep work. This placement indicates the ability to see truth from multiple perspectives, remaining neutral and optimistic even in challenging circumstances. Chariklo teaches the art of being present without interference, holding space for others to heal themselves. She represents private, protected environments where authentic transformation can occur.","21°46'47""",19.340558185,0.0646306,"7 ar 29'33""",No,,,,,,,,,,,,,,,,,,,,,,,,Saturn,,,,,,,
10370,Hylonome,Centaur,,,"19°20'36""",23.617418944,0.0203195,"3 cn 11'28""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
