Name,Number,Category,Keywords,Description
Pallas,2,Major Asteroid,Wisdom strategy creative intelligence communication,Goddess of wisdom and strategic thinking. Shows pattern recognition creative problem-solving and communication skills. Linked to writing teaching and diplomacy.
Chiron,2060,Centaur,Wounded healer transformation teaching,The wounded healer. Represents where you have constant burden that becomes wisdom. Shows capacity to help others through your wounds.
Nessus,7066,Centaur,Abuse betrayal karma patterns,Represents karmic patterns around abuse and betrayal. Shows where healing from victimization is needed.
Pholus,5145,Centaur,Small cause big effect turning points,Represents small cause big effect. Shows life-changing relationship turning points and catalytic events.
Dejanira,157,Asteroid,Victimization betrayal codependency,Paired with Nessus. Shows patterns of victimization and where one may stay in harmful situations.
Anteros,1943,Asteroid,Reciprocated love returned affection,Shows where love should and will be reciprocated. Represents mutual affection and balanced exchange.
Destinn,6583,Asteroid,Fate destiny soul agreements,Represents destiny and fated connections. Shows soul agreements and predestined meetings.
Vertex,N/A,Sensitive Point,Fated encounters destiny points,Represents fated encounters and karmic meetings. Not a body but a calculated point of destiny.
North Node,N/A,Sensitive Point,Life purpose soul growth destiny,Represents soul growth direction and life purpose. Shows what you're moving toward karmically.
South Node,N/A,Sensitive Point,Past life karma comfort zone,Represents past life skills and karmic patterns. Shows what you're releasing in this lifetime.
Kaali,4227,Asteroid,Kundalini dark goddess tantric shakti,Universal Mother kundalini energy. Represents primal kundalini activation transmutation and tantric enchantress energy.
Shiva,1170,Asteroid,Sacred masculine tantric transformation,Represents sacred masculine essence. Connected to tantra transformation and the phallic god.
Shakti,4230,Asteroid,Sacred feminine kundalini goddess power,Goddess kundalini shakti. Represents primal feminine power serpent wisdom and transformative healing.
Isis,42,Asteroid,Magic healing devotion resurrection,Egyptian goddess of magic and healing. Represents devotion transformative love and resurrection themes.
Osiris,1923,Asteroid,Death rebirth transformation cycles,Paired with Isis. Represents death rebirth transformation and eternal cycles.
Pandora,55,Asteroid,Curiosity forbidden knowledge revelation,Represents curiosity that leads to revelation. Can show where opening forbidden doors brings consequences.
Persephone,399,Asteroid,Transformation underworld seasons,Represents descent into underworld and seasonal transformation. Shows themes of abduction initiation and return.
Medea,212,Asteroid,Betrayal revenge passion transformation,Represents intense passion that can turn to revenge. Shows extremes in love and relationship betrayals.
Circe,34,Asteroid,Enchantment transformation seduction magic,Sorceress who transforms. Represents enchantment seduction magical transformation and animal nature.
Medusa,149,Asteroid,Victimization rage transformation beauty,Represents being victimized then transforming rage. Shows beauty that threatens and protective anger.
Narcissus,37117,Asteroid,Self-love vanity reflection,Represents self-love that can become narcissism. Shows need for admiration and self-reflection themes.
Echo,60,Asteroid,Longing unrequited love mirroring,Represents unrequited love and longing. Shows tendency to mirror others and lose own voice.
Orpheus,3361,Asteroid,Devotion loss artistic expression grief,Represents devotion through loss. Connected to music poetry and the journey to underworld for love.
Eurydike,75,Asteroid,Lost love fate surrender,Paired with Orpheus. Represents lost love and surrendering to fate.
Alma,390,Asteroid,Upbeat love heart expansion cosmic connection,Represents upbeat outlook on love and desire to expand heart. Shows cosmic connections when touching partner's planets.
Briede,19029,Asteroid,Wife feminine partnership female spouse,Represents future wife for those attracted to women. Shows wife's personality and traits.
Groom,5129,Asteroid,Husband masculine partnership male spouse,Represents future spouse for those attracted to men. Shows husband's personality and traits especially in persona chart.
King,2305,Asteroid,Masculine authority sovereignty leadership,Represents masculine power and authority. Paired with Queen asteroid for power dynamics.
Queen,5457,Asteroid,Feminine authority sovereignty leadership,Represents feminine power and royalty. Paired with King for relationship power themes.
Eve,164,Asteroid,Feminine principle creation innocence,Represents feminine creative principle. Paired with Adam for primal masculine-feminine dynamics.
Adam,6461,Asteroid,Masculine principle creation innocence,Represents masculine creative principle. Paired with Eve for original partnership dynamics.
Tristan,1966,Asteroid,Tragic love devotion sacrifice,Represents devoted love that involves sacrifice. Paired with Isolda for fated tragic romance.
Isolda,211,Asteroid,Passionate love devotion forbidden,Paired with Tristan. Represents passionate forbidden love and devotion beyond rules.
Casanova,7328,Asteroid,Seduction charm player magnetism,Represents charming seductive energy. Can indicate player behavior and sexual magnetism.
Messalina,545,Asteroid,Sexual excess promiscuity libertine,Represents extreme sexuality and promiscuity. Named after Roman empress known for sexual excess.
Yarilo,4584,Asteroid,Virility fertility sexual vitality spring,Slavic god of spring and fertility. Represents masculine sexual vitality and life force.
Bacchus,2063,Asteroid,Pleasure indulgence sensuality ecstasy,God of wine and ecstasy. Represents sensual pleasure indulgence and altered states.
Hathor,2340,Asteroid,Love joy music dance sexuality,Egyptian goddess of love and joy. Represents music dance feminine sexuality and pleasure.
Astarte,672,Asteroid,Sexual love war goddess sensuality,Phoenician love goddess. Represents sexual love sensuality and warrior goddess energy.
Ishtar,672,Asteroid,Love war fertility sacred prostitution,Babylonian goddess. Represents love war fertility and sacred prostitution themes.
Inanna,4581,Asteroid,Descent transformation sacred sexuality queen,Sumerian goddess of love and war. Represents descent initiation transformation and sacred sexuality.
Fox,16884,Asteroid,Cunning seduction trickster playfulness,Represents cunning seductive energy and trickster nature. Shows playful manipulative qualities.
Kitty,9563,Asteroid,Sensuality playfulness feline magnetism,Represents feline sensual playful energy. Associated with seductive qualities.
Nymphe,875,Asteroid,Youthful sexuality nymphomania nature spirits,Represents nymphlike sexual energy and youthful sensuality. Can indicate excessive sexuality.
Lameia,248,Asteroid,Seduction vampiric devouring sexuality,Represents devouring sexual energy. Can indicate vampiric or consuming sexual nature.
Sirene,1009,Asteroid,Seduction voice enchantment fatal attraction,Represents seductive voice and enchanting energy. Shows ability to lure and mesmerize.
Galatea,74,Asteroid,Beauty ideal love artistic creation,Represents ideal beauty and artistic creation. Shows perfect form and aesthetic love.
Kallisto,204,Asteroid,Beauty attraction transformation,Represents beauty and attraction that leads to transformation. Connected to Zeus's conquests.
Esther,622,Asteroid,Beauty courage hidden strength feminine power,Represents beauty courage and hidden feminine power. Biblical queen who saved her people.
Herodias,546,Asteroid,Seduction revenge manipulation power,Represents seductive manipulation and revenge. Connected to dance of seven veils.
Salome,562,Asteroid,Seduction dance taboo sexuality,Represents dance seduction and taboo sexuality. Biblical figure known for deadly dance.
Erato,62,Asteroid,Erotic poetry lyric muse sensual art,Muse of love poetry. Represents erotic artistic expression and sensual creativity.
Terpsichore,81,Asteroid,Dance movement rhythm artistic expression,Muse of dance. Represents movement dance rhythm and physical artistic expression.
Apollo,1862,Asteroid,Beauty art music prophecy healing,God of beauty art and music. Represents aesthetic perfection artistic skill and prophetic ability.
Euterpe,27,Asteroid,Music poetry harmony flute,Muse of music and poetry. Represents musical harmony and poetic expression.
Polyhymnia,33,Asteroid,Sacred music hymns meditation,Muse of sacred music. Represents devotional art meditation and sacred expression.
Thalia,23,Asteroid,Comedy joy celebration humor,Muse of comedy. Represents joy humor celebration and lighthearted expression.
Urania,30,Asteroid,Astronomy cosmos universal love,Muse of astronomy. Represents cosmic love universal connection and celestial wisdom.
Melpomene,18,Asteroid,Tragedy catharsis deep emotion,Muse of tragedy. Represents deep emotional expression catharsis and dramatic art.
Calliope,22,Asteroid,Epic poetry eloquence voice,Chief muse of epic poetry. Represents eloquence powerful voice and heroic expression.
Clio,84,Asteroid,History memory recording expression,Muse of history. Represents memory recording events and historical perspective.
Arachne,407,Asteroid,Weaving craftsmanship competition pride,Represents weaving and craftsmanship. Shows competitive artistic nature and pride in skill.
Philomela,196,Asteroid,Silenced voice artistic expression trauma,Represents voice silenced then transformed to art. Shows healing through creative expression after trauma.
Ariadne,43,Asteroid,Guiding thread wisdom betrayal divine union,Represents guiding wisdom through darkness. Shows betrayal followed by divine union.
Thereus,32532,Centaur,Healing guidance shamanic wisdom,Centaur representing healing guidance. Connected to shamanic practices and wise counsel.
Hygiea,10,Asteroid,Health healing wellness medicine,Goddess of health. Represents health practices healing and integration into medical astrology.
Aesculapia,1027,Asteroid,Healing medicine shaman mystic wellness,God of medicine. Represents healing wholeness and alternative medicine practices.
Sophia,251,Asteroid,Wisdom divine knowledge spiritual truth,Represents divine wisdom spiritual knowledge and sacred truth. Gnostic goddess of wisdom.
Asteria,658,Asteroid,Magic oracles stars prophecy dreams,Represents magic oracles starlight and vivid dreams. Connected to prophecy and astrology.
Sibyl,168,Asteroid,Prophecy oracle foresight divine messages,Represents prophetess with gift of foresight. Shows oracles divine messages and foretelling.
Hekate,100,Asteroid,Triple goddess witchcraft crossroads magic,Triple goddess of magic witchcraft and crossroads. Represents keys opening doors and mediumship.
Diana,78,Asteroid,Moon goddess independence wild nature,Represents lunar energy wild nature and feminine independence. Connected to hunting and wilderness.
Selene,580,Asteroid,Moon cycles feminine mysticism night,Moon goddess. Represents lunar cycles feminine mysteries and night magic.
Luna,N/A,Celestial Body,Emotions intuition cycles subconscious,The Moon itself. Represents emotions intuition cycles and subconscious patterns.
Hermes,69230,Asteroid,Communication messenger magic trickster,Messenger god. Represents communication magic crossroads and mercurial nature.
Mercury,N/A,Planet,Communication intellect thought expression,Ruling planet of communication. Represents thinking learning speaking and mental processes.
Ascendant,N/A,Sensitive Point,Identity self-expression mask persona,Rising sign. Represents how you present yourself and your approach to life.
Descendant,N/A,Sensitive Point,Partnerships others relationships projection,Opposite ascendant. Represents relationships partnerships and what you seek in others.
Midheaven,N/A,Sensitive Point,Career public image destiny calling,MC. Represents career public reputation and life calling.
IC,N/A,Sensitive Point,Home roots family foundation,Imum Coeli. Represents home roots family and inner foundation.
Part of Fortune,N/A,Arabic Part,Luck joy manifestation gifts,Calculated point. Represents where joy luck and natural gifts manifest.
Part of Spirit,N/A,Arabic Part,Purpose calling soul mission,Calculated point. Represents spiritual purpose and soul calling.
Sedna,90377,TNO/Dwarf Planet,Victimization betrayal exile patience,Scattered disk object. Represents feeling betrayed or deceived by false promises. Shows patience and long-suffering.
Eris,136199,Dwarf Planet,Discord exclusion chaos revelation,Dwarf planet. Represents feeling left out or excluded. Shows need to create own circle and reveal discord.
Makemake,136472,Dwarf Planet,Creation manifestation resources ecology,Dwarf planet. Represents creator energy and ability to manifest reality through mind. Connected to environmental themes.
Haumea,136108,Dwarf Planet,Creation fertility childbirth transformation,Dwarf planet. Represents creation childbirth and transformative energy. Shows ability to create and fix things.
Gonggong,225088,TNO,Compassion sensitivity destruction transformation,TNO/Potential dwarf planet. Represents compassionate sensitive energy but also destructive transformation when necessary.
Quaoar,50000,TNO,Creation dance playfulness manifestation,TNO/Potential dwarf planet. Represents dancing creation and playful manifestation. Connected to performance arts.
Orcus,90482,TNO,Oaths promises underworld consequences,TNO/Potential dwarf planet. Represents keeping oaths and promises. Connected to consequences and underworld themes.
Varuna,20000,TNO,Creation cosmic order truth,TNO. Represents cosmic order creation and truth. Shows ability to manifest through universal law.
Ixion,28978,TNO,Lawlessness hubris consequences,TNO. Represents consequences of lawlessness and hubris. Shows where pride leads to downfall.
Chaos,19521,TNO,Primordial void potential beginnings,TNO. Represents primordial chaos and infinite potential. Shows formless creative void.
Cupido,N/A,Uranian Planet,Marriage family art society groups,Uranian hypothetical planet. Represents marriage family partnerships and artistic societies. Shows togetherness.
Hades,N/A,Uranian Planet,Occult depth antiquity secrets past lives,Uranian hypothetical planet. Represents occult depth antiquity and what's deeply buried. Shows past life connections.
Zeus,N/A,Uranian Planet,Creative fire leadership controlled energy,Uranian hypothetical planet. Represents controlled directed energy creative fire and leadership.
Kronos,N/A,Uranian Planet,Authority mastery expertise tradition,Uranian hypothetical planet. Represents authority expertise mastery and traditional structures.
Apollon,N/A,Uranian Planet,Science expansion success multiplication,Uranian hypothetical planet. Represents expansion scientific knowledge success and commerce.
Admetos,N/A,Uranian Planet,Blockage depth standstill persistence,Uranian hypothetical planet. Represents blockages standstills depth and need for persistence.
Vulcanus,N/A,Uranian Planet,Tremendous force power transformation,Uranian hypothetical planet. Represents tremendous force powerful transformation and volcanic energy.
Poseidon,N/A,Uranian Planet,Spirituality idealism transcendence,Uranian hypothetical planet. Represents spirituality enlightenment idealism and transcendent experiences.
Amanda,725,Asteroid,Sacred prostitution miracles transformation,Represents sacred prostitution and inner direction change after recognizing miracles in everyday life.
Magdalena,318,Asteroid,Divine feminine Christ consciousness devotion,Represents connection to divine feminine Christ consciousness and commitment to spiritual collective cause.
Soma,2815,Asteroid,Union opposites rebirth kundalini yin-yang,Represents union of opposing forces resulting in rebirth. Connected to kundalini and yin-yang balance.
Ambrosia,193,Asteroid,Immortality healing masculine-feminine balance,Represents immortality healing force and masculine-feminine integration. Shows ageless regenerative power.
Vibhuti,25290,Asteroid,Glory divine power sacred ash manifestation,Represents glory and power of god. Shows sacred manifestations and valuable spiritual achievements.
Reiki,5239,Asteroid,Healing energy presence transformation,Represents healing through presence and energy. Shows ability to heal wounds through being.
Spirit,37452,Asteroid,Inspiration elevation belief empowerment,Represents how someone raises you up and makes you believe in yourself more. Shows spiritual elevation.
Lyubimets,10761,Asteroid,Darling beloved cherished endearment,Russian for darling. Shows who is cherished and dear to you. Look up in synastry.
Svyaztie,37556,Asteroid,Connection tie bond relationship,Russian for connection. Represents ties and bonds between people in relationships.
Hebe,6,Asteroid,Youth eternal service renewal,Goddess of youth. Represents youthful energy serving others and renewal.
Harmonia,40,Asteroid,Harmony balance peace unity,Represents harmony peace and balanced unity. Shows where things flow smoothly.
Concordia,58,Asteroid,Agreement peace harmony cooperation,Represents peaceful agreement cooperation and harmonious relationships.
Pax,679,Asteroid,Peace tranquility calm resolution,Roman goddess of peace. Represents tranquil peaceful energy and conflict resolution.
Fortuna,19,Asteroid,Fortune luck destiny fate,Represents fortune luck and beneficial fate. Shows where good fortune manifests.
Tyche,258,Asteroid,Chance randomness luck fortune,Greek version of fortune. Represents chance luck and random good fortune.
Nemesis,128,Asteroid,Divine retribution karma justice balance,Represents divine retribution and karmic justice. Shows where balance must be restored.
Ate,111,Asteroid,Ruin folly recklessness consequences,Represents ruin through folly and recklessness. Shows consequences of poor judgment.
Hybris,430,Asteroid,Pride arrogance downfall,Represents excessive pride and arrogance leading to downfall. Shows where humility is needed.
Icarus,1566,Asteroid,Ambition risk downfall overreach,Represents ambitious overreach and risky behavior leading to downfall. Shows where caution is needed.
Daedalus,1864,Asteroid,Craftsmanship invention ingenuity escape,Represents masterful craftsmanship invention and ingenious solutions. Shows creative engineering.
Pandion,4894,Asteroid,Family loyalty transformation betrayal,Represents family bonds loyalty and transformations through betrayal.
Asbolus,8405,Centaur,Prophecy divination intuition far-seeing,Centaur. Represents prophetic ability divination and intuitive foresight.
Chariklo,10199,Centaur,Healing compassion support nurturer,Largest centaur. Represents healing support compassion and nurturing presence.
Elatus,31824,Centaur,Penetrating insight revelation,Centaur. Represents penetrating insight that reveals hidden truths.
Hylonome,10370,Centaur,Grief devotion suicide loss,Centaur. Represents profound grief devotion unto death and loss.
Okyrhoe,52872,Centaur,Prophecy transformation fate,Centaur. Represents prophetic ability and transformation through speaking truth.
Amycus,55576,Centaur,Aggression combat challenge conflict,Centaur. Represents aggressive challenging energy and combat.
Crantor,83982,Centaur,Grief mourning loss healing,Centaur. Represents processing grief mourning and healing from loss.
Echeclus,60558,Centaur,Transformation duality bridging worlds,Centaur. Represents bridging worlds transformation and dual nature.
Bienor,54598,Centaur,Balance warrior healer duality,Centaur. Represents balance between warrior and healer energies.
Pelion,49036,Centaur,Teaching wisdom grounding,Centaur. Represents teaching wisdom and grounding energy.
Cyllarus,52975,Centaur,Love devotion partnership,Centaur. Represents devoted love and partnership unto death.
Transpluto,N/A,Hypothetical,Perfectionism letting go transformation,Hypothetical trans-Neptunian planet. Represents perfectionism and need to release control.
Pluto,N/A,Planet,Transformation power shadow death rebirth,Represents death rebirth transformation power and the shadow. Shows where intense transformation occurs and shadow work is needed.
DNA,55555,Asteroid,Soul recognition divine union ancestry identity,Represents soul recognition beyond normal bonds. Shows divine union connections ancestral patterns and unique identity recognition.
Sado,118230,Asteroid,Sadomasochism pain pleasure dark sexuality shadow,Represents sadistic tendencies and deriving pleasure from pain. Shows dark sexual expression and shadow aspects. Use cautiously in synastry.
Prey,6157,Asteroid,Victimization vulnerability predator-prey dynamics,Represents victimization and vulnerable positions. Shows predator-prey dynamics in relationships. Important in abuse pattern recognition.
Pain,5188,Asteroid,Suffering wounds emotional pain trauma,Represents types of pain and suffering experienced. Shows where deep wounds and trauma manifest in life.
Lie,26955,Asteroid,Deception dishonesty manipulation truth distortion,Represents where lies and deception occur. Shows manipulation patterns and where truth is withheld.
Truth,249521,Asteroid,Honesty revelation clarity authenticity,Represents where truth prevails and must be faced. Shows areas where honesty and authenticity are crucial.
Veritas,490,Asteroid,Divine truth goddess revelation transparency,Goddess of truth. Represents where truth is most desired and where it may be difficult to accept.
Deviance,21419,Asteroid,Nonconformity taboo unconventional behavior,Represents deviation from norms and taboo behaviors. Shows unconventional or extreme patterns.
Nemesis,128,Asteroid,Divine retribution karma justice enemies,Represents divine retribution karmic justice and enemies. Shows where balance must be restored through consequences.
Lucifer,1930,Asteroid,Pride rebellion enlightenment fallen angel,Represents pride rebellion and fall from grace. Can show ego inflation or bringing light to darkness.
Blink,4425,Asteroid,Denial avoidance turning blind eye,Represents looking away or denial. Shows where one refuses to see truth or avoids reality.
Swindle,8690,Asteroid,Fraud deception scam manipulation,Represents being swindled or swindling others. Shows patterns of fraud and deception.
Wild,1941,Asteroid,Untamed primal instinct savage nature,Represents wild untamed nature and primal instincts. Shows where raw uncontrolled energy manifests.
Fanatica,1589,Asteroid,Fanaticism obsession extremism,Represents fanatical devotion and extreme obsession. Shows where one becomes consumed by ideas.
Savage,29837,Asteroid,Brutality ruthlessness primitive aggression,Represents savage brutal behavior and primitive aggression. Shows capacity for ruthless action.
Not,2857,Asteroid,Negation opposition denial refusal,Represents negation and saying no. Shows areas of opposition and refusal.
Pervert,18624,Asteroid,Sexual deviance perversion taboo kinks,Represents sexual perversion and taboo desires. Shows deviant sexual patterns or accusations thereof.
Hard,28077,Asteroid,Difficulty challenge endurance toughness,Represents hardship and difficulties. Shows where life is challenging and endurance is required.
Ohno,5180,Asteroid,Mistakes mishaps embarrassment,Represents moments of realization of mistakes. Shows where mishaps and embarrassing situations occur.
Hazard,9305,Asteroid,Danger risk warning threat,Represents hazards and dangerous situations. Shows where one poses or encounters threats.
Maniac,228029,Asteroid,Mental instability mania obsession,Represents manic energy and mental instability. Shows where obsessive or manic patterns emerge.
Split,12512,Asteroid,Division duality split personality fragmentation,Represents splits in personality or mentality. Shows fragmentation and divided thinking.
Akashi,5881,Asteroid,Records memories past life recall,Represents akashic records and deep memory. Shows past life recall and soul memory recognition.
Hypnos,14827,Asteroid,Trance hypnotic spell enchantment sleep,God of sleep. Represents hypnotic connection trance states and mysterious enchantment in relationships.
Aura,1488,Asteroid,Energy field presence mystical atmosphere,Represents energetic presence and aura. Shows mystical atmosphere and spiritual completeness with others.
Fama,408,Asteroid,Fame reputation gossip rumors publicity,Represents fame reputation and what others say about you. Shows gossip patterns and public image.
Galatea,74,Asteroid,Projection ideal love objectification creation,Represents being someone's ideal or projection. Shows where third party drama and idealization occur in relationships.
Child,4580,Asteroid,Inner child innocence vulnerability youth,Represents the inner child and childhood themes. Important for healing childhood wounds.
Toro,1685,Asteroid,Aggression bullying domination charging,Represents bull-like aggression and charging behavior. Shows dominating or bullying patterns.
Moira,638,Asteroid,Fate destiny unchangeable will,One of the Fates. Represents inescapable destiny and predetermined events beyond control.
Lachesis,120,Asteroid,Fate life span destiny measurement,One of the Fates who measures life thread. Represents measuring out one's destiny and life duration.
Atropos,273,Asteroid,Fate death endings inevitability,One of the Fates who cuts life thread. Represents inevitable endings and death themes.
Klotho,97,Asteroid,Fate beginnings spinning destiny,One of the Fates who spins life thread. Represents beginnings and the spinning of destiny.
Requiem,2254,Asteroid,Death mourning endings rest,Represents death themes mourning and final rest. Shows where endings bring transformation.
Achilles,588,Asteroid,Vulnerability weakness fatal flaw heroism,Represents fatal weakness despite strength. Shows one's vulnerable spot and heroic nature.
Pandora,55,Asteroid,Curiosity consequences opening forbidden,Represents opening forbidden things and unintended consequences. Shows where curiosity brings both gifts and curses.
Ate,111,Asteroid,Ruin folly recklessness blindness,Represents ruin through folly and reckless decisions. Shows consequences of poor judgment.
Nyx,3908,Asteroid,Night darkness primordial shadow mystery,Primordial goddess of night. Represents deep darkness mystery and the void before creation.
Erebus,4388,Asteroid,Darkness shadow underworld primordial,Primordial god of darkness. Represents shadow realm and deep unconscious darkness.
Tartarus,9969,Asteroid,Abyss punishment underworld depths,Represents the deepest underworld and severe punishment. Shows profound depths and karmic consequences.
Thanatos,7809,Asteroid,Death death drive endings finality,Personification of death. Represents death drive endings and acceptance of mortality.
Proserpina,26,Asteroid,Underworld descent seasons transformation,Roman version of Persephone. Represents seasonal descent transformation and underworld journeys.
Pluto,134340,Dwarf Planet,Underworld transformation shadow power rebirth,God of underworld. Represents death rebirth shadow work transformation and regeneration.
Saturn,N/A,Planet,Karma lessons boundaries time restriction,Represents karmic lessons boundaries time restrictions and life lessons through difficulty.
Mars,N/A,Planet,Action aggression sexuality drive conflict,Represents drive action sexuality aggression and conflict. Shows how we pursue desires.
Venus,N/A,Planet,Love beauty values attraction pleasure,Represents love beauty attraction values and pleasure. Shows what we love and how we relate.
Uranus,N/A,Planet,Revolution awakening rebellion freedom shock,Represents sudden change revolution awakening and freedom. Shows where we break free.
Neptune,N/A,Planet,Illusion spirituality transcendence dissolution,Represents illusion spirituality dreams transcendence and dissolution of boundaries.
Jupiter,N/A,Planet,Expansion growth luck philosophy abundance,Represents expansion growth luck philosophy and abundance. Shows where we grow.
Sun,N/A,Star,Identity ego vitality consciousness core self,Represents core identity ego consciousness and life force. Shows who we are at the center.
Moon,N/A,Satellite,Emotions instincts nurturing inner world needs,Represents emotions instincts inner world and needs. Shows our emotional nature and what we need to feel safe.
Lilith (Mean),h12,Calculated Point,Sexual power rebellion raw feminine rage,Mean Lilith calculation. Represents sexual power rebellion and raw feminine expression.
Lilith (True),h13,Calculated Point,Authentic power wild feminine independence,True Lilith calculation. Represents authentic wild power and fierce independence.
Waldemath Lilith,h58,Calculated Point,Dark mother vengeful shadow,Waldemath Dark Moon. Represents dark mother energy and shadowy vengeance.
Algol,Fixed Star,Fixed Star,Demon star rage violence beheading,Most malefic fixed star. Represents rage violence and losing one's head literally or figuratively.
