Name,Number,Category,Keywords,Description
Pallas,2,Major Asteroid,Wisdom strategy creative intelligence communication,Goddess of wisdom and strategic thinking. Shows pattern recognition creative problem-solving and communication skills. Linked to writing teaching and diplomacy.
Chiron,2060,Centaur,Wounded healer transformation teaching,The wounded healer. Represents where you have constant burden that becomes wisdom. Shows capacity to help others through your wounds.
Nessus,7066,Centaur,Abuse betrayal karma patterns,Represents karmic patterns around abuse and betrayal. Shows where healing from victimization is needed.
Pholus,5145,Centaur,Small cause big effect turning points,Represents small cause big effect. Shows life-changing relationship turning points and catalytic events.
Dejanira,157,Asteroid,Victimization betrayal codependency,Paired with Nessus. Shows patterns of victimization and where one may stay in harmful situations.
Anteros,1943,Asteroid,Reciprocated love returned affection,Shows where love should and will be reciprocated. Represents mutual affection and balanced exchange.
Destinn,6583,Asteroid,Fate destiny soul agreements,Represents destiny and fated connections. Shows soul agreements and predestined meetings.
Vertex,N/A,Sensitive Point,Fated encounters destiny points,Represents fated encounters and karmic meetings. Not a body but a calculated point of destiny.
North Node,N/A,Sensitive Point,Life purpose soul growth destiny,Represents soul growth direction and life purpose. Shows what you're moving toward karmically.
South Node,N/A,Sensitive Point,Past life karma comfort zone,Represents past life skills and karmic patterns. Shows what you're releasing in this lifetime.
Kaali,4227,Asteroid,Kundalini dark goddess tantric shakti,Universal Mother kundalini energy. Represents primal kundalini activation transmutation and tantric enchantress energy.
Shiva,1170,Asteroid,Sacred masculine tantric transformation,Represents sacred masculine essence. Connected to tantra transformation and the phallic god.
Shakti,4230,Asteroid,Sacred feminine kundalini goddess power,Goddess kundalini shakti. Represents primal feminine power serpent wisdom and transformative healing.
Isis,42,Asteroid,Magic healing devotion resurrection,Egyptian goddess of magic and healing. Represents devotion transformative love and resurrection themes.
Osiris,1923,Asteroid,Death rebirth transformation cycles,Paired with Isis. Represents death rebirth transformation and eternal cycles.
Pandora,55,Asteroid,Curiosity forbidden knowledge revelation,Represents curiosity that leads to revelation. Can show where opening forbidden doors brings consequences.
Persephone,399,Asteroid,Transformation underworld seasons,Represents descent into underworld and seasonal transformation. Shows themes of abduction initiation and return.
Medea,212,Asteroid,Betrayal revenge passion transformation,Represents intense passion that can turn to revenge. Shows extremes in love and relationship betrayals.
Circe,34,Asteroid,Enchantment transformation seduction magic,Sorceress who transforms. Represents enchantment seduction magical transformation and animal nature.
Medusa,149,Asteroid,Victimization rage transformation beauty,Represents being victimized then transforming rage. Shows beauty that threatens and protective anger.
Narcissus,37117,Asteroid,Self-love vanity reflection,Represents self-love that can become narcissism. Shows need for admiration and self-reflection themes.
Echo,60,Asteroid,Longing unrequited love mirroring,Represents unrequited love and longing. Shows tendency to mirror others and lose own voice.
Orpheus,3361,Asteroid,Devotion loss artistic expression grief,Represents devotion through loss. Connected to music poetry and the journey to underworld for love.
Eurydike,75,Asteroid,Lost love fate surrender,Paired with Orpheus. Represents lost love and surrendering to fate.
Alma,390,Asteroid,Upbeat love heart expansion cosmic connection,Represents upbeat outlook on love and desire to expand heart. Shows cosmic connections when touching partner's planets.
Briede,19029,Asteroid,Wife feminine partnership female spouse,Represents future wife for those attracted to women. Shows wife's personality and traits.
Groom,5129,Asteroid,Husband masculine partnership male spouse,Represents future spouse for those attracted to men. Shows husband's personality and traits especially in persona chart.
King,2305,Asteroid,Masculine authority sovereignty leadership,Represents masculine power and authority. Paired with Queen asteroid for power dynamics.
Queen,5457,Asteroid,Feminine authority sovereignty leadership,Represents feminine power and royalty. Paired with King for relationship power themes.
Eve,164,Asteroid,Feminine principle creation innocence,Represents feminine creative principle. Paired with Adam for primal masculine-feminine dynamics.
Adam,6461,Asteroid,Masculine principle creation innocence,Represents masculine creative principle. Paired with Eve for original partnership dynamics.
Tristan,1966,Asteroid,Tragic love devotion sacrifice,Represents devoted love that involves sacrifice. Paired with Isolda for fated tragic romance.
Isolda,211,Asteroid,Passionate love devotion forbidden,Paired with Tristan. Represents passionate forbidden love and devotion beyond rules.
Casanova,7328,Asteroid,Seduction charm player magnetism,Represents charming seductive energy. Can indicate player behavior and sexual magnetism.
Messalina,545,Asteroid,Sexual excess promiscuity libertine,Represents extreme sexuality and promiscuity. Named after Roman empress known for sexual excess.
Yarilo,4584,Asteroid,Virility fertility sexual vitality spring,Slavic god of spring and fertility. Represents masculine sexual vitality and life force.
Bacchus,2063,Asteroid,Pleasure indulgence sensuality ecstasy,God of wine and ecstasy. Represents sensual pleasure indulgence and altered states.
Hathor,2340,Asteroid,Love joy music dance sexuality,Egyptian goddess of love and joy. Represents music dance feminine sexuality and pleasure.
Astarte,672,Asteroid,Sexual love war goddess sensuality,Phoenician love goddess. Represents sexual love sensuality and warrior goddess energy.
Ishtar,672,Asteroid,Love war fertility sacred prostitution,Babylonian goddess. Represents love war fertility and sacred prostitution themes.
Inanna,4581,Asteroid,Descent transformation sacred sexuality queen,Sumerian goddess of love and war. Represents descent initiation transformation and sacred sexuality.
Fox,16884,Asteroid,Cunning seduction trickster playfulness,Represents cunning seductive energy and trickster nature. Shows playful manipulative qualities.
Kitty,9563,Asteroid,Sensuality playfulness feline magnetism,Represents feline sensual playful energy. Associated with seductive qualities.
Nymphe,875,Asteroid,Youthful sexuality nymphomania nature spirits,Represents nymphlike sexual energy and youthful sensuality. Can indicate excessive sexuality.
Lameia,248,Asteroid,Seduction vampiric devouring sexuality,Represents devouring sexual energy. Can indicate vampiric or consuming sexual nature.
Sirene,1009,Asteroid,Seduction voice enchantment fatal attraction,Represents seductive voice and enchanting energy. Shows ability to lure and mesmerize.
Galatea,74,Asteroid,Beauty ideal love artistic creation,Represents ideal beauty and artistic creation. Shows perfect form and aesthetic love.
Kallisto,204,Asteroid,Beauty attraction transformation,Represents beauty and attraction that leads to transformation. Connected to Zeus's conquests.
Esther,622,Asteroid,Beauty courage hidden strength feminine power,Represents beauty courage and hidden feminine power. Biblical queen who saved her people.
Herodias,546,Asteroid,Seduction revenge manipulation power,Represents seductive manipulation and revenge. Connected to dance of seven veils.
Salome,562,Asteroid,Seduction dance taboo sexuality,Represents dance seduction and taboo sexuality. Biblical figure known for deadly dance.
Erato,62,Asteroid,Erotic poetry lyric muse sensual art,Muse of love poetry. Represents erotic artistic expression and sensual creativity.
Terpsichore,81,Asteroid,Dance movement rhythm artistic expression,Muse of dance. Represents movement dance rhythm and physical artistic expression.
Apollo,1862,Asteroid,Beauty art music prophecy healing,God of beauty art and music. Represents aesthetic perfection artistic skill and prophetic ability.
Euterpe,27,Asteroid,Music poetry harmony flute,Muse of music and poetry. Represents musical harmony and poetic expression.
Polyhymnia,33,Asteroid,Sacred music hymns meditation,Muse of sacred music. Represents devotional art meditation and sacred expression.
Thalia,23,Asteroid,Comedy joy celebration humor,Muse of comedy. Represents joy humor celebration and lighthearted expression.
Urania,30,Asteroid,Astronomy cosmos universal love,Muse of astronomy. Represents cosmic love universal connection and celestial wisdom.
Melpomene,18,Asteroid,Tragedy catharsis deep emotion,Muse of tragedy. Represents deep emotional expression catharsis and dramatic art.
Calliope,22,Asteroid,Epic poetry eloquence voice,Chief muse of epic poetry. Represents eloquence powerful voice and heroic expression.
Clio,84,Asteroid,History memory recording expression,Muse of history. Represents memory recording events and historical perspective.
Arachne,407,Asteroid,Weaving craftsmanship competition pride,Represents weaving and craftsmanship. Shows competitive artistic nature and pride in skill.
Philomela,196,Asteroid,Silenced voice artistic expression trauma,Represents voice silenced then transformed to art. Shows healing through creative expression after trauma.
Ariadne,43,Asteroid,Guiding thread wisdom betrayal divine union,Represents guiding wisdom through darkness. Shows betrayal followed by divine union.
Thereus,32532,Centaur,Healing guidance shamanic wisdom,Centaur representing healing guidance. Connected to shamanic practices and wise counsel.
Hygiea,10,Asteroid,Health healing wellness medicine,Goddess of health. Represents health practices healing and integration into medical astrology.
Aesculapia,1027,Asteroid,Healing medicine shaman mystic wellness,God of medicine. Represents healing wholeness and alternative medicine practices.
Sophia,251,Asteroid,Wisdom divine knowledge spiritual truth,Represents divine wisdom spiritual knowledge and sacred truth. Gnostic goddess of wisdom.
Asteria,658,Asteroid,Magic oracles stars prophecy dreams,Represents magic oracles starlight and vivid dreams. Connected to prophecy and astrology.
Sibyl,168,Asteroid,Prophecy oracle foresight divine messages,Represents prophetess with gift of foresight. Shows oracles divine messages and foretelling.
Hekate,100,Asteroid,Triple goddess witchcraft crossroads magic,Triple goddess of magic witchcraft and crossroads. Represents keys opening doors and mediumship.
Diana,78,Asteroid,Moon goddess independence wild nature,Represents lunar energy wild nature and feminine independence. Connected to hunting and wilderness.
Selene,580,Asteroid,Moon cycles feminine mysticism night,Moon goddess. Represents lunar cycles feminine mysteries and night magic.
Luna,N/A,Celestial Body,Emotions intuition cycles subconscious,The Moon itself. Represents emotions intuition cycles and subconscious patterns.
Hermes,69230,Asteroid,Communication messenger magic trickster,Messenger god. Represents communication magic crossroads and mercurial nature.
Mercury,N/A,Planet,Communication intellect thought expression,Ruling planet of communication. Represents thinking learning speaking and mental processes.
Ascendant,N/A,Sensitive Point,Identity self-expression mask persona,Rising sign. Represents how you present yourself and your approach to life.
Descendant,N/A,Sensitive Point,Partnerships others relationships projection,Opposite ascendant. Represents relationships partnerships and what you seek in others.
Midheaven,N/A,Sensitive Point,Career public image destiny calling,MC. Represents career public reputation and life calling.
IC,N/A,Sensitive Point,Home roots family foundation,Imum Coeli. Represents home roots family and inner foundation.
Part of Fortune,N/A,Arabic Part,Luck joy manifestation gifts,Calculated point. Represents where joy luck and natural gifts manifest.
Part of Spirit,N/A,Arabic Part,Purpose calling soul mission,Calculated point. Represents spiritual purpose and soul calling.
Sedna,90377,TNO/Dwarf Planet,Victimization betrayal exile patience,Scattered disk object. Represents feeling betrayed or deceived by false promises. Shows patience and long-suffering.
Eris,136199,Dwarf Planet,Discord exclusion chaos revelation,Dwarf planet. Represents feeling left out or excluded. Shows need to create own circle and reveal discord.
Makemake,136472,Dwarf Planet,Creation manifestation resources ecology,Dwarf planet. Represents creator energy and ability to manifest reality through mind. Connected to environmental themes.
Haumea,136108,Dwarf Planet,Creation fertility childbirth transformation,Dwarf planet. Represents creation childbirth and transformative energy. Shows ability to create and fix things.
Gonggong,225088,TNO,Compassion sensitivity destruction transformation,TNO/Potential dwarf planet. Represents compassionate sensitive energy but also destructive transformation when necessary.
Quaoar,50000,TNO,Creation dance playfulness manifestation,TNO/Potential dwarf planet. Represents dancing creation and playful manifestation. Connected to performance arts.
Orcus,90482,TNO,Oaths promises underworld consequences,TNO/Potential dwarf planet. Represents keeping oaths and promises. Connected to consequences and underworld themes.
Varuna,20000,TNO,Creation cosmic order truth,TNO. Represents cosmic order creation and truth. Shows ability to manifest through universal law.
Ixion,28978,TNO,Lawlessness hubris consequences,TNO. Represents consequences of lawlessness and hubris. Shows where pride leads to downfall.
Chaos,19521,TNO,Primordial void potential beginnings,TNO. Represents primordial chaos and infinite potential. Shows formless creative void.
Cupido,N/A,Uranian Planet,Marriage family art society groups,Uranian hypothetical planet. Represents marriage family partnerships and artistic societies. Shows togetherness.
Hades,N/A,Uranian Planet,Occult depth antiquity secrets past lives,Uranian hypothetical planet. Represents occult depth antiquity and what's deeply buried. Shows past life connections.
Zeus,N/A,Uranian Planet,Creative fire leadership controlled energy,Uranian hypothetical planet. Represents controlled directed energy creative fire and leadership.
Kronos,N/A,Uranian Planet,Authority mastery expertise tradition,Uranian hypothetical planet. Represents authority expertise mastery and traditional structures.
Apollon,N/A,Uranian Planet,Science expansion success multiplication,Uranian hypothetical planet. Represents expansion scientific knowledge success and commerce.
Admetos,N/A,Uranian Planet,Blockage depth standstill persistence,Uranian hypothetical planet. Represents blockages standstills depth and need for persistence.
Vulcanus,N/A,Uranian Planet,Tremendous force power transformation,Uranian hypothetical planet. Represents tremendous force powerful transformation and volcanic energy.
Poseidon,N/A,Uranian Planet,Spirituality idealism transcendence,Uranian hypothetical planet. Represents spirituality enlightenment idealism and transcendent experiences.
Amanda,725,Asteroid,Sacred prostitution miracles transformation,Represents sacred prostitution and inner direction change after recognizing miracles in everyday life.
Magdalena,318,Asteroid,Divine feminine Christ consciousness devotion,Represents connection to divine feminine Christ consciousness and commitment to spiritual collective cause.
Soma,2815,Asteroid,Union opposites rebirth kundalini yin-yang,Represents union of opposing forces resulting in rebirth. Connected to kundalini and yin-yang balance.
Ambrosia,193,Asteroid,Immortality healing masculine-feminine balance,Represents immortality healing force and masculine-feminine integration. Shows ageless regenerative power.
Vibhuti,25290,Asteroid,Glory divine power sacred ash manifestation,Represents glory and power of god. Shows sacred manifestations and valuable spiritual achievements.
Reiki,5239,Asteroid,Healing energy presence transformation,Represents healing through presence and energy. Shows ability to heal wounds through being.
Spirit,37452,Asteroid,Inspiration elevation belief empowerment,Represents how someone raises you up and makes you believe in yourself more. Shows spiritual elevation.
Lyubimets,10761,Asteroid,Darling beloved cherished endearment,Russian for darling. Shows who is cherished and dear to you. Look up in synastry.
Svyaztie,37556,Asteroid,Connection tie bond relationship,Russian for connection. Represents ties and bonds between people in relationships.
Hebe,6,Asteroid,Youth eternal service renewal,Goddess of youth. Represents youthful energy serving others and renewal.
Harmonia,40,Asteroid,Harmony balance peace unity,Represents harmony peace and balanced unity. Shows where things flow smoothly.
Concordia,58,Asteroid,Agreement peace harmony cooperation,Represents peaceful agreement cooperation and harmonious relationships.
Pax,679,Asteroid,Peace tranquility calm resolution,Roman goddess of peace. Represents tranquil peaceful energy and conflict resolution.
Fortuna,19,Asteroid,Fortune luck destiny fate,Represents fortune luck and beneficial fate. Shows where good fortune manifests.
Tyche,258,Asteroid,Chance randomness luck fortune,Greek version of fortune. Represents chance luck and random good fortune.
Nemesis,128,Asteroid,Divine retribution karma justice balance,Represents divine retribution and karmic justice. Shows where balance must be restored.
Ate,111,Asteroid,Ruin folly recklessness consequences,Represents ruin through folly and recklessness. Shows consequences of poor judgment.
Hybris,430,Asteroid,Pride arrogance downfall,Represents excessive pride and arrogance leading to downfall. Shows where humility is needed.
Icarus,1566,Asteroid,Ambition risk downfall overreach,Represents ambitious overreach and risky behavior leading to downfall. Shows where caution is needed.
Daedalus,1864,Asteroid,Craftsmanship invention ingenuity escape,Represents masterful craftsmanship invention and ingenious solutions. Shows creative engineering.
Pandion,4894,Asteroid,Family loyalty transformation betrayal,Represents family bonds loyalty and transformations through betrayal.
Asbolus,8405,Centaur,Prophecy divination intuition far-seeing,Centaur. Represents prophetic ability divination and intuitive foresight.
Chariklo,10199,Centaur,Healing compassion support nurturer,Largest centaur. Represents healing support compassion and nurturing presence.
Elatus,31824,Centaur,Penetrating insight revelation,Centaur. Represents penetrating insight that reveals hidden truths.
Hylonome,10370,Centaur,Grief devotion suicide loss,Centaur. Represents profound grief devotion unto death and loss.
Okyrhoe,52872,Centaur,Prophecy transformation fate,Centaur. Represents prophetic ability and transformation through speaking truth.
Amycus,55576,Centaur,Aggression combat challenge conflict,Centaur. Represents aggressive challenging energy and combat.
Crantor,83982,Centaur,Grief mourning loss healing,Centaur. Represents processing grief mourning and healing from loss.
Echeclus,60558,Centaur,Transformation duality bridging worlds,Centaur. Represents bridging worlds transformation and dual nature.
Bienor,54598,Centaur,Balance warrior healer duality,Centaur. Represents balance between warrior and healer energies.
Pelion,49036,Centaur,Teaching wisdom grounding,Centaur. Represents teaching wisdom and grounding energy.
Cyllarus,52975,Centaur,Love devotion partnership,Centaur. Represents devoted love and partnership unto death.
Transpluto,N/A,Hypothetical,Perfectionism letting go transformation,Hypothetical trans-Neptunian planet. Represents perfectionism and need to release control.
White Moon Selena,h56,Sensitive Point,Light karma grace guardian angel blessings,Represents accumulated good karma light divine grace and guardian angel protection. Shows where you receive spiritual blessings and act as conduit of light. Opposite of Black Moon Lilith.
DNA,55555,Asteroid,Soul contract genetic bond deep transformation,Represents soul contracts and deep transformative bonds in relationships. Strong indicator of fated connections when conjunct angles or personal planets in synastry.
Boda,1487,Asteroid,Wedding ceremony marriage celebration,Spanish for wedding. Represents the wedding ceremony itself and marriage celebration. Important in synastry for marriage timing and commitment.
Prey,6157,Asteroid,Victimization vulnerability predation,Represents where you may be vulnerable to predation or victimization. Shows predator-prey dynamics in relationships.
Bilk,4425,Asteroid,Financial manipulation using others,Represents using others for financial gain. Common in charts of con artists. In synastry shows potential for financial manipulation.
Lie,26955,Asteroid,Deception dishonesty falsehood,Represents deception and dishonesty. Shows where lies and false narratives may occur in relationships.
Deprez,9795,Asteroid,Depression melancholy darkness shadow,Represents depression and melancholic states. Shadow work indicator for processing darkness.
Sado,118230,Asteroid,Sadism pain dominance control,Represents sadistic tendencies and deriving pleasure from others' pain. Important to check in synastry for power dynamics.
Telephus,5264,Asteroid,Healing wounds ancestral trauma,Represents healing wounds especially ancestral and generational trauma. Connected to finding cure for suffering.
Cadmus,7092,Asteroid,Foundation legacy transformation serpent,Represents founding legacy and serpent wisdom. Connected to transformation through dragon/serpent energy.
Theseus,4786,Asteroid,Hero journey conquest rescue,Represents hero's journey conquest and rescue themes. Paired with Ariadne for relationship dynamics.
Molpadia,90,Asteroid,Tragedy accident unintended consequences,Amazon who accidentally killed Antiope. Represents unintended tragic consequences in relationships.
Antiope,90,Asteroid,Marriage outsider warrior feminine,Amazon who married. Represents marrying outside your tribe and warrior feminine in committed relationships.
Zeus,5731,Asteroid,Authority power marriage fidelity issues,King of gods. Represents authority power and often infidelity issues. Paired with Hera asteroid.
Jupiter,N/A,Planet,Expansion luck abundance marriage blessing,Great benefic. Represents expansion luck abundance and marriage blessings. Traditional marriage significator.
Akhenaten,326290,Asteroid,Revolution transformation religious change,Egyptian pharaoh who revolutionized religion. Represents radical transformation and devotion to singular vision.
Echnaton,4415,Asteroid,Devotion singular focus transformation,Alternative name for Akhenaten. Represents devoted focus and transformative change.
Ask,4894,Asteroid,First man creation partnership,Norse first man created from ash tree. Paired with Embla for primordial partnership.
Embla,4895,Asteroid,First woman creation partnership,Norse first woman created from elm tree. Paired with Ask for primordial partnership.
Helena,101,Asteroid,Beauty desire war catalyst,Helen of Troy. Represents beauty that launches ships and relationships that cause upheaval.
Paris,3317,Asteroid,Choice judgment romantic pursuit,Paris of Troy. Represents fateful choices in love and judgment of beauty. Paired with Helena.
Menelaus,1647,Asteroid,Betrayal cuckolding loss loyalty,Betrayed husband of Helen. Represents betrayal in marriage and loyalty despite loss.
Rhea,577,Asteroid,Great mother nurturing cycles,Mother of gods. Represents great mother energy and nurturing through cycles.
Gaea,1184,Asteroid,Earth mother primal creation grounding,Mother Earth. Represents primal earth mother creative power and grounding force.
Salacia,120347,Asteroid,Ocean depths hidden waters emotion,Neptune's wife. Represents hidden emotional depths and oceanic consciousness.
Nephlele,431,Asteroid,Cloud illusion substitute deception,Cloud nymph made to look like Hera. Represents illusion substitution and being deceived by appearances.
Jason,6063,Asteroid,Quest hero betrayal abandonment,Hero who betrayed Medea. Represents questing hero energy and betrayal of sacred bonds.
Sado,118230,Asteroid,Sadism pain control dominance,Represents sadistic pleasure and control through pain. Important shadow work indicator.
Lucifer,1930,Asteroid,Light bearer pride fall rebellion,Light bearer. Represents pride rebellion and the fall from grace. Also morning star Venus energy.
Aura,1488,Asteroid,Energy field presence atmosphere,Represents auric field personal atmosphere and energetic presence.
Ptah,5011,Asteroid,Beautiful face creation craftsmanship,Egyptian creator god. Represents beautiful face creative power and master craftsmanship.
Nadherna,5089,Asteroid,Beauty grace elegance,Czech for beautiful. Represents refined beauty and elegant grace.
Dainty,9758,Asteroid,Delicacy refinement petite beauty,Represents delicate refined beauty and precious quality.
Sweet,11727,Asteroid,Sweetness kindness gentle nature,Represents sweet disposition kindness and gentle loving nature.
Glo,3267,Asteroid,Radiance shine magnetism fame,Represents glow radiance and magnetic shine. Shows where you naturally attract attention.
Aglaja,47,Asteroid,Splendor brilliance radiant beauty,One of three Graces. Represents splendor brilliant beauty and radiant charm.
Bella,695,Asteroid,Beauty attractiveness loveliness,Italian for beautiful. Represents classic beauty and attractive qualities.
Charis,627,Asteroid,Grace charm charisma,Represents grace charm and natural charisma. One of the Graces.
Sassi,7500,Asteroid,Stone earth grounding stability,Represents grounded earthy stable energy and foundation.
Geisha,1047,Asteroid,Art entertainment refinement service,Represents refined entertainment artistic service and cultivated beauty.
Candy,3015,Asteroid,Sweetness indulgence pleasure temptation,Represents sweet indulgence pleasurable temptation and desire for treats.
Indulgentia,90703,Asteroid,Overindulgence excess permissiveness,Represents overindulgence excess and where you may lack boundaries with pleasure.
Deceptionisland,110298,Asteroid,Illusion deception misleading appearances,Represents deceptive appearances illusion and being misled. Neptune-like effects.
Lyubimets,10761,Asteroid,Darling beloved cherished sweetheart,Russian for darling. Shows who is beloved and cherished. Important in synastry.
Svyaztie,37556,Asteroid,Connection tie bond relationship link,Russian for connection. Represents ties bonds and connections between people.
Abundantia,151,Asteroid,Abundance prosperity overflow,Roman goddess of abundance. Represents overflow prosperity and generous supply.
Fides,37,Asteroid,Faith trust loyalty commitment,Roman goddess of faith. Represents trust loyalty and keeping commitments.
Veritas,490,Asteroid,Truth honesty authenticity,Roman goddess of truth. Represents truth honesty and authentic expression.
Nyx,3908,Asteroid,Night darkness primordial shadow,Greek goddess of night. Represents primordial darkness shadow realm and night mysteries.
Tartarus,17796,Asteroid,Underworld punishment suffering abyss,Greek underworld prison. Represents deep suffering punishment and abyssal depths.
Tantalus,2102,Asteroid,Temptation torment unfulfilled desire,Represents eternal temptation torment and desires forever out of reach.
Sisyphus,1866,Asteroid,Repetition futility endless struggle,Represents repetitive futile struggles and lessons learned through endless effort.
Prometheus,1809,Asteroid,Rebellion foresight suffering sacrifice,Represents rebellious foresight suffering for giving gifts and sacrificial vision.
Epimetheus,1810,Asteroid,Hindsight regret poor judgment,Represents hindsight regret and learning from poor judgment. Paired with Pandora.
Moira,638,Asteroid,Fate destiny inevitable patterns,Represents fate destiny and inevitable life patterns.
Lachesis,120,Asteroid,Measuring fate life span duration,One of three Fates. Measures length of life thread. Represents duration and measurement.
Clotho,97,Asteroid,Spinning fate beginning birth,One of three Fates. Spins life thread. Represents beginnings birth and initiation.
Atropos,273,Asteroid,Cutting fate death endings,One of three Fates. Cuts life thread. Represents endings death and finality.
Verdandi,33881,Asteroid,Present becoming unfolding now,Norse fate goddess of present. Represents what is becoming and unfolding now.
Skuld,1130,Asteroid,Future debt obligation destiny,Norse fate goddess of future. Represents future obligations debts and what shall be.
Urðr,167,Asteroid,Past origin source fate,Norse fate goddess of past. Represents past origins and source of fate.
Lucifer,1930,Asteroid,Pride rebellion fall from grace light,Light bearer fallen angel. Represents pride beautiful rebellion and fall from grace.
Proserpina,26,Asteroid,Abduction underworld seasons transformation,Roman Persephone. Represents abduction seasonal transformation and underworld initiation.
Pluto,N/A,Planet,Transformation death rebirth power shadow,Lord of underworld. Represents death rebirth transformation power dynamics and shadow work.
Saturn,N/A,Planet,Karma restriction time maturity commitment,Great malefic. Represents karma restrictions time commitment and mature relationship development.
Part of Marriage,N/A,Arabic Part,Marriage partner union commitment,Calculated point for marriage partner and committed unions.
Part of Passion,N/A,Arabic Part,Desire passion erotic connection,Calculated point for passionate desire and erotic connections.
Part of Love,N/A,Arabic Part,Love affection romantic fulfillment,Calculated point for love relationships and romantic fulfillment.
Imum Coeli,N/A,Angle,Home roots foundation family,IC bottom of chart. Represents home foundation roots and family dynamics.
Anti-Vertex,N/A,Sensitive Point,Free will choice self-initiation destiny,Opposite of Vertex. Represents where you exercise choice and conscious intention. Shows self-initiated action and personal agency in shaping destiny.
East Point,N/A,Sensitive Point,Auxiliary ascendant self-expression identity,Intersection of ecliptic with equator at eastern horizon. Acts as auxiliary ascendant showing alternative self-expression.
West Point,N/A,Sensitive Point,Auxiliary descendant relationships projection,Opposite of East Point. Acts as auxiliary descendant showing alternative relationship patterns and projections.
Zenith,N/A,Sensitive Point,Highest point aspiration elevation,Directly overhead point. Represents highest aspirations and elevation of consciousness.
Nadir,N/A,Sensitive Point,Lowest point foundation depths,Directly below. Represents deepest foundations and unconscious depths.
Equatorial Ascendant,N/A,Sensitive Point,Identity expression alternative rising,Alternative to Ascendant based on equator. Shows additional layer of identity and self-expression.
Aries Point,N/A,Sensitive Point,Public recognition fame world stage,0 degrees Aries. Represents public recognition fame and stepping onto world stage.
Albion,15760,TNO,First discovery new beginnings pioneering,First TNO discovered after Pluto in 1992. Represents new discoveries pioneering and being first into unknown territory.
Salacia,120347,TNO,Hidden depths ocean consciousness partnership,Neptune's partner. Represents hidden emotional depths oceanic consciousness and deep partnership bonds.
Logos,58534,TNO,Divine word creation manifestation reason,Represents divine word creative logos and manifestation through reason and speech.
Zoe,214,Asteroid,Life vitality living essence,Represents life force vitality and the living essence of being.
Typhon,42355,Centaur,Chaos destruction primal force,Represents chaotic destructive primal forces and volcanic eruptions of energy.
