category,id,title,life_phrase,keywords,interpretation,citation
planet,Mars,Mars,"drive, assertion, courage",,"drive, assertion, courage. See site planetary pages for nuance.",citeturn0search9turn2view0
planet,Jupiter,Jupiter,"expansion, belief, luck",,"expansion, belief, luck. See site planetary pages for nuance.",citeturn0search9turn2view0
planet,Saturn,Saturn,"limits, structure, responsibility",,"limits, structure, responsibility. See site planetary pages for nuance.",citeturn0search9turn2view0
planet,Uranus,Uranus,"innovation, rebellion, sudden change",,"innovation, rebellion, sudden change. See site planetary pages for nuance.",citeturn0search9turn2view0
planet,Neptune,Neptune,"ideals, dreams, dissolution",,"ideals, dreams, dissolution. See site planetary pages for nuance.",citeturn0search9turn2view0
planet,Pluto,Pluto,"transformation, power, regeneration",,"transformation, power, regeneration. See site planetary pages for nuance.",citeturn0search9turn2view0
aspect,Conjunction,Conjunction,0° - blending/amplification; context dependent,,0° - blending/amplification; context dependent. Aspect patterns are important.,citeturn3view0
aspect,Sextile,Sextile,"60° - opportunity, easy coordination",,"60° - opportunity, easy coordination. Aspect patterns are important.",citeturn3view0
aspect,Square,Square,"90° - tension, friction, productive challenge",,"90° - tension, friction, productive challenge. Aspect patterns are important.",citeturn3view0
aspect,Trine,Trine,"120° - harmony, natural flow",,"120° - harmony, natural flow. Aspect patterns are important.",citeturn3view0
aspect,Opposition,Opposition,"180° - polarity, projection, relational tension",,"180° - polarity, projection, relational tension. Aspect patterns are important.",citeturn3view0
aspect,Quincunx,Quincunx,"150° - adjustment, irritation",,"150° - adjustment, irritation. Aspect patterns are important.",citeturn3view0
element,Fire,Fire,"Aries, Leo, Sagittarius",,"Fire element: Aries, Leo, Sagittarius.",citeturn2view0
element,Earth,Earth,"Taurus, Virgo, Capricorn",,"Earth element: Taurus, Virgo, Capricorn.",citeturn2view0
element,Air,Air,"Gemini, Libra, Aquarius",,"Air element: Gemini, Libra, Aquarius.",citeturn2view0
element,Water,Water,"Cancer, Scorpio, Pisces",,"Water element: Cancer, Scorpio, Pisces.",citeturn2view0
modality,Cardinal,Cardinal,"initiation: Aries,Cancer,Libra,Capricorn",,"initiation: Aries,Cancer,Libra,Capricorn",citeturn2view0
modality,Fixed,Fixed,"sustainability: Taurus,Leo,Scorpio,Aquarius",,"sustainability: Taurus,Leo,Scorpio,Aquarius",citeturn2view0
modality,Mutable,Mutable,"adaptability: Gemini,Virgo,Sagittarius,Pisces",,"adaptability: Gemini,Virgo,Sagittarius,Pisces",citeturn2view0
dignity,Domicile/Exaltation,Domicile & Exaltation,"Essential dignities: domicile, exaltation, triplicity, terms, faces",domicile;exaltation;triplicity;terms;faces,AstralTwelve discusses classical dignities and refers to Almuten/Lord of the Geniture methods for strength.,citeturn2view0turn0search9
asteroid,Chiron,Chiron,asteroid-role,,Chiron used as additional nuance in natal readings on site.,citeturn0search9
asteroid,Ceres,Ceres,asteroid-role,,Ceres used as additional nuance in natal readings on site.,citeturn0search9
asteroid,Pallas,Pallas,asteroid-role,,Pallas used as additional nuance in natal readings on site.,citeturn0search9
asteroid,Juno,Juno,asteroid-role,,Juno used as additional nuance in natal readings on site.,citeturn0search9
asteroid,Vesta,Vesta,asteroid-role,,Vesta used as additional nuance in natal readings on site.,citeturn0search9
asteroid,Eros,Eros,asteroid-role,,Eros used as additional nuance in natal readings on site.,citeturn0search9
asteroid,Psyche,Psyche,asteroid-role,,Psyche used as additional nuance in natal readings on site.,citeturn0search9
