Name,Aspect Direction,Bounds Ruler,Chart Pattern,Chart Type,Classification,Decan,Declination,Dignity,Distance AU,Duad,Harmonic Aspects,Hemisphere,House,House Ruler in House,Interpretation,Keywords,Latitude,Longitude Degrees,MPC Number,Magi Linkages,Midpoints,Mode,Object ID,Planet Parans,Planetary Direction,Planetary Pictures,Position,Quadrant,Ray,Retrograde,Ruler,Sect,Sign,Source,Speed,Star Conjunctions,Star Parans,Symbol,Triplicity Ruler,Type
Chiron,,,,,,,"8°53'8"" N",,19.619999,,,Northern (Above Horizon) / Western,7,,"The deepest wound or area of healing (Chiron) is tied to the assertion of self (Aries) within relationships (House 7). The native may feel wounded in their ability to be direct or initiate a partnership, often attracting partners who mirror this wound. The gift lies in becoming a healer or pioneer who helps others define and assert their identities in a partnership context. They must learn self-love to facilitate healing in others.","Wound, Healing, Self-worth, Identity, Partnerships, Pioneering, Courage, Pain, Teaching, Self-assertion, Independence, Relationship crisis, Shamanism, Directness, Emotional scar, Mentor, Integration","0°59'55"" N","20°22'21""",2060,,,,,,,,"20 ar 21'46""",,,No,Mars,,Aries,,0.0594,,,,,Centaur
Uranus,,Saturn,,,,,"9°27'58"" S",Peregrine,17.435070053,,,Southern (Below Horizon) / Eastern,1,,"Unconventionality and rebellion (Uranus) are expressed directly through the personality and physical appearance (House 1). The native has a unique, detached, and reform-minded approach to relationships (Libra is ruled by Venus, and Uranus is about breaking structures). The retrograde motion internalizes this revolutionary impulse, making the native restless and seeking personal freedom. They strive to be seen as an individual and challenge the status quo, especially in partnership models.","Unconventional, Shocking, Revolutionary, Personal freedom, Appearance, Individuality, Radical, Detached, Change, Rebellion, Progressive, Restless, Innovative, Sudden shifts, Authentic self, Eccentric, Reform","0°36'33"" N","25°58'25""",,,,Cardinal,,,,,"25 li 58'50""",,,Yes,Venus,Day,Libra,,-0.0422,,,,Mercury (Day Ruler),Classical
osc. Apogee,,,,,,,"-15°27'49""",,0.002709949,,,,,,,,,,,,,,,,,,"5 aq 24'23""",,,Yes,,,,,-3.0196705,,,,,Calculated
Juno,,,,,,,"5°53'52"" S",,3.175241203,,,Southern (Below Horizon) / Eastern,5,,"The ideal partner/relationship dynamic (Juno) is one that is intellectually stimulating, unconventional, and freedom-oriented (Aquarius) found in the context of romance, pleasure, or creative ventures (House 5). Commitment must be based on equality and mutual respect for personal space. The native seeks a partner who is a friend, a genius, or a humanitarian. Fidelity may be defined unconventionally, prioritizing mental connection over emotional drama.","Partnership, Marriage, Commitment, Unconventional, Intellectual connection, Freedom, Egalitarian, Genius, Creativity, Romance, Children, Unique alliance, Friendship, Social justice, Mutual respect, Non-traditional fidelity, Equality","7°45'16"" N","24°55'14""",3,,,,,,,,"24 aq 51'37""",,,No,Saturn,,Aquarius,,0.3628,,,,,Asteroid
true Node,,,,,,,"-23° 8'40""",,0.002663117,,,,,,,,,,,,,,,,,,"21 sa 6'47""",,,Yes,,,,,-0.0304745,,,,,Calculated
mean Apogee,,,,,,,"-18° 3'20""",,0.002710625,,,,,,,,,,,,,,,,,,"26 cp 25'26""",,,No,,,,,0.1111624,,,,,Calculated
Pallas,,,,,,,"12°16'9"" N",,3.417801911,,,Southern (Below Horizon) / Eastern,4,,"Strategic intelligence and pattern recognition (Pallas) are applied to the home, family roots, and emotional foundation (House 4) through objective, intellectual, and group-oriented perspectives (Aquarius). The native uses intellect to structure the family environment or to find unique, detached solutions to emotional and domestic issues. They may be a strategist in their community or focus their talents on reform in real estate or traditional family structures.","Strategy, Wisdom, Justice, Objectivity, Intellect, Home, Family, Foundations, Ancestry, Domestic reform, Patterns, Inner security, Unique solutions, Detachment, Legal strategy, Architectural design, Abstract thought","32°55'4"" N","5°18'43""",2,,,,,,,,"5 aq 16'25""",,,No,Saturn,,Aquarius,,0.2306,,,,,Asteroid
Ceres,,,,,,,"19°1'30"" S",,3.452153126,,,Southern (Below Horizon) / Eastern,5,,"The manner of nurturing and connection (Ceres) involves intellectual detachment and humanitarian ideals (Aquarius) applied to creative projects, children, and romance (House 5). The native nurtures others by fostering their uniqueness and intellectual freedom. They may express devotion through progressive or unconventional creative pursuits. The care given is often non-traditional and focused on group values and promoting social equality through expressive arts.","Nurturing, Unconditional love, Intellectual, Humanitarian, Unconventional, Group values, Creativity, Children, Social causes, Non-traditional care, Detachment, Progressive, Fostering genius, Emotional feeding, Adoption, Creative rights","7°5'22"" S","27°23'28""",1,,,,,,,,"27 aq 20'11""",,,No,Saturn,,Aquarius,,0.3289,,,,,Dwarf
Neptune,,Venus,,,,,"22°59'48"" S",Peregrine,29.638834006,,,Southern (Below Horizon) / Western,3,,"This placement suggests idealism, confusion, or spiritualization (Neptune) concerning communication, local environment, and foundational learning (House 3). The native may struggle with clarity in thought and speech, or they may be a profoundly inspired communicator (e.g., poet, visionary). The retrograde motion enhances the inner search for spiritual truth. Sibling relationships or early schooling may be confusing or idealized. There is an intuitive, compassionate grasp of universal concepts.","Idealism, Confusion, Spiritual, Visionary, Inspired speech, Disillusionment, Psychic, Local travel, Environment, Siblings, Non-verbal, Escapism, Dreams, Intuition, Obfuscation, Faith, Subtle communication","0°50'53"" N","9°22'45""",,,,Mutable,,,,,"9 sa 22'54""",,,Yes,Jupiter,Night,Sagittarius,,-0.0053,,,I,Sun (Day Ruler),Classical
mean Node,,,,,,,"-23°14'16""",,0.002569555,,,,,,,,,,,,,,,,,,"22 sa 38'25""",,,Yes,,,,,-0.0529434,,,,,Calculated
Pluto-Charon,,,,,,,"13°43'26""",,30.006665607,,,,,,,,,,134340,,,,,,,,"5 li 3'22""",,,Yes,,,,,-0.0264568,,,,,Dwarf
Makemake,,,,,,,"39°59'11""",,48.51895676,,,,,,"Makemake embodies the principles of manifestation, abundance, and prosperity through harmony with natural law. Named after the Rapa Nui (Easter Island) creation god, this dwarf planet represents environmental consciousness, resourcefulness, and the wise administration of resources. Makemake shows where we must balance material success with ecological sustainability, learning to create abundance without exploitation. This placement indicates the capacity to manifest goals through aligned intention, protect and provide for communities, and understand the cycles of giving and receiving. Makemake teaches that true prosperity comes from respecting natural limits and honoring the interconnectedness of all life.","Manifestation, Abundance, Prosperity, Environmental consciousness, Creation deity, Resourcefulness, Sustainability, Earth stewardship, Provider, Protector, Harmony with nature, Sacred economics, Sacrifice for goals, Ecological wisdom, Natural law, Divine trickster, Success, Thriving",,,136472,,,Cardinal,,,,,"16 le 33'45""",,,Yes,Saturn,,Virgo,,-0.0072902,,,,,Dwarf
Varuna,,,,,,,"12°15'24""",,42.412210181,,,,,,,,,,20000,,,,,,,,"4 ge 41'47""",,,No,,,,,0.0201181,,,,,TNO
Eris,,,,,,,"-13°18'48""",,98.498046724,,,,,,"Eris represents discord, strife, and the disruptive force that challenges the status quo. Named after the Greek goddess of discord, this dwarf planet embodies rebellion, empowerment, and transformation through conflict. Eris highlights where we must confront systemic injustice, fight for the marginalized, and embrace our role as change agents. This placement indicates the capacity to expose hidden truths, create necessary disruption, and catalyze revolutionary change. Eris shows where we refuse to conform to societal expectations and instead champion authentic expression and equality. The energy is fierce, uncompromising, and dedicated to bringing justice to those who have been excluded or oppressed.","Discord, Strife, Rebellion, Empowerment, Disruption, Transformation, Conflict, Justice, Outsider archetype, Revolutionary change, Challenging authority, Exposing truth, Systemic change, Feminine rage, Equality, Non-conformity, Catalyst, Game-changer",,,136199,,,Cardinal,,,,,"13 ar 9'39""",,,No,Mars,,Aries,,0.0112449,,,,,Dwarf
Vesta,,,,,,,"8°23'28"" N",,1.268422556,,,Northern (Above Horizon) / Eastern,12,,"The area of sacred devotion and inner focus (Vesta) is tied to harmony, justice, and balancing relationships (Libra) but is channeled into the subconscious, spiritual retreat, or selfless service (House 12). The native finds wholeness through quiet meditation, working alone, or dedicating themselves to justice in hidden ways. They must guard against sacrificing their own needs for the sake of peace or partnership harmony in their personal life.","Dedication, Purity, Focus, Sacred, Harmony, Balance, Justice, Spiritual retreat, Subconscious, Hidden devotion, Sacrifice, Inner peace, Quiet service, Solitude, Self-integration, Karmic clearing, Meditation","12°41'50"" N","8°15'19""",4,,,,,,,,"8 li 17'44""",,,Yes,Venus,,Libra,,-0.2417,,,,,Asteroid
Orcus,,,,,,,"12°25'47""",,44.151342035,,,,,,,,,,90482,,,,,,,,"22 cn 34'10""",,,No,,,,,0.0017383,,,,,TNO
Haumea,,,,,,,"25°11'57""",,50.319868686,,,,,,"Haumea represents fertility, rebirth, and the transformative cycles of creation. Named after the Hawaiian goddess of childbirth and fertility, this rapidly rotating, elongated dwarf planet embodies the feminine principle of bringing new life into being. Haumea shows where we experience profound renewal, give birth to new aspects of ourselves, and undergo rapid transformation. This placement indicates the capacity for regeneration, the wisdom of the earth goddess, and the power to create from our own essence. Haumea teaches that transformation often requires letting go of old forms to make space for new growth, and that true power lies in the ability to continually recreate ourselves.","Fertility, Rebirth, Transformation, Childbirth, Hawaiian goddess, Regeneration, Creation, Renewal, Cycles of growth, Feminine power, Earth goddess, Rapid change, Self-generation, Metamorphosis, Divine feminine, Life force, Sacred creation, Continuous rebirth",,,136108,,,Cardinal,,,,,"11 vi 46' 4""",,,Yes,Mars,,Libra,,-0.0139746,,,,,Dwarf
Ixion,,,,,,,"-3°36'24""",,46.674852877,,,,,,"Ixion represents the consequences of betrayal, lawlessness, and the corruption that comes from unchecked desire. Named after the first murderer in Greek mythology who was bound to a fiery wheel in Tartarus, this Plutino embodies lust for life, ambition without ethics, and the karmic repercussions of transgression. Ixion shows where we must develop discernment about our desires and values, recognizing that creative life force can become destructive when misdirected. This placement indicates the capacity for passionate intensity, but warns against tyranny, criminality, and the violation of sacred trust. Ixion teaches that our actions create karmic patterns that eventually reflect back to us, demanding accountability and ethical awareness.","Betrayal, Lawlessness, Lust for life, Corruption, Tyranny, Criminal behavior, Consequences, Karma, Reflection, Discernment, Values, Ethics, Passion, Life force, Accountability, Sacred trust, Transgression, First murderer, Bound to wheel",,,28978,,,,,,,,"8 sc 8'29""",,,Yes,Pluto,,,,-0.0176386,,,,,TNO
Quaoar,,,,,,,"-9°54'38""",,43.373664546,,,,,,"Quaoar represents the creative force that sings reality into existence through harmony, dance, and sacred sound. Named after the Tongva creator deity who danced and sang the universe into being, this dwarf planet embodies natural order, universal law, and the responsibility to live in harmony with creation. Quaoar shows where we access creative power through alignment with natural cycles, where we must honor the sacred laws of life, and where we can manifest through resonance rather than force. This placement indicates evolutionary development, the capacity to see the big picture of creation, and liberation through understanding cosmic order. Quaoar teaches that true creation is participatory, requiring us to respect all life and work within natural limits.","Creation through song, Dancing universe into being, Harmony, Natural order, Universal law, Responsibility, Respect for life, Sacred creation, Tongva deity, Evolutionary path, Big picture, Liberation, Governing, Circular orbit, Spirit of discovery, Scientific inquiry, Abstract models, Clarifying, Revealing, Constructing, Questioning",,,50000,,,,,,,,"5 sc 37' 9""",,,Yes,Uranus,,,,-0.0184086,,,,,TNO
Sedna 2003 VB12,,,,,,,"2° 7'20""",,101.411541984,,,,,,,,,,90377,,,,,,,,"3 ta 4'47""",,,No,,,,,0.0107998,,,,,SDO
Zeus,,,,,,,"6°36' 3""",,58.46577744,,,,,,,,,,,,,,,,,,"13 vi 12'35""",,,Yes,,,,,-0.0113663,,,,,Uranian
Cupido,,,,,,,"-9°36' 1""",,40.019195062,,,,,,,,,,,,,,,,,,"27 li 33' 1""",,,Yes,,,,,-0.0204311,,,,,Uranian
Kronos,,,,,,,"21°51'16""",,65.626981698,,,,,,,,,,,,,,,,,,"9 ge 16'56""",,,No,,,,,0.0115239,,,,,Uranian
Isis-Transpluto,,,,,,,"16°19' 4""",,89.217772949,,,,,,,,,,,,,,,,,,"15 le 4'39""",,,Yes,,,,,-0.0037469,,,,,Hypothetical
Vulkanus,,,,,,,"23°20' 1""",,77.507843834,,,,,,,,,,,,,,,,,,"5 cn 35'46""",,,No,,,,,0.0044638,,,,,Uranian
Poseidon,,,,,,,"-8°23'32""",,82.667200953,,,,,,,,,,,,,,,,,,"21 li 30'41""",,,Yes,,,,,-0.0105337,,,,,Uranian
Apollon,,,,,,,"-1°41' 4""",,69.337210041,,,,,,,,,,,,,,,,,,"4 li 14' 0""",,,Yes,,,,,-0.0119598,,,,,Uranian
Astraea,,,,,,,"17°29'31""",,2.853725882,,,,,,,,,,5,,,,,,,,"4 ge 28'10""",,,No,,,,,0.4650528,,,,,Asteroid
Admetos,,,,,,,"13° 1'47""",,74.599593055,,,,,,,,,,,,,,,,,,"4 ta 30'15""",,,No,,,,,0.0143007,,,,,Uranian
Hades,,,,,,,"17°20'33""",,51.544714971,,,,,,,,,,,,,,,,,,"22 ta 0'58""",,,No,,,,,0.0187832,,,,,Uranian
Iris,,,,,,,"18° 2'13""",,2.10169634,,,,,,,,,,7,,,,,,,,"14 cn 55'52""",,,No,,,,,0.3514065,,,,,Asteroid
Psyche,,,,,,,"-16°52'12""",,2.965548207,,,,,,"Psyche represents the soul, psychological depth, and transformation through love and trials. Named for the mortal woman who won immortality through her trials for love of Eros, this asteroid symbolizes the soul's journey toward wholeness. It shows where you experience trials that lead to spiritual growth, deep soul connections with others, and psychological transformation. Psyche reveals your capacity for unconditional love, the wounds you must heal to find your true self, and how you integrate shadow aspects. It indicates psychic sensitivity, the study of the mind (psychology), and the quest for eternal love.","Soul, Psyche, Psychology, Transformation through love, Trials, Soul mates, Psychic sensitivity, Shadow work, Unconscious mind, Spiritual evolution, Eternal love, Self-discovery, Integration, Metamorphosis, Butterfly symbolism, Inner beauty, Psychological depth",,,16,,,,,,,,"5 aq 25' 0""",,,No,,,,,0.2840028,,,,,Asteroid
Isis,,,,,,,"-1°31'41""",,1.561011787,,,,,,"Isis represents magical healing, divine feminine power, resurrection, and protective motherhood. As the great Egyptian goddess who resurrected Osiris and protected Horus, Isis shows where you possess gifts of restoration, magical knowledge, and fierce maternal protection. This placement reveals your capacity for healing through magic, teaching wisdom to others, and bringing the dead back to life (literally or metaphorically). Isis indicates devotion to family, skills in medicine and agriculture, and the ability to weave powerful spells. She represents unconditional love, fertility, and the throne of power.","Magic, Healing, Resurrection, Motherhood, Protection, Divine feminine, Throne, Wisdom, Medicine, Fertility, Devotion, Restoration, Egyptian mysteries, Unconditional love, Teaching, Agriculture, Weaving, Powerful spells",,,42,,,,,,,,"2 sc 58' 8""",,,Yes,,,,,-0.2343947,,,,,Asteroid
Urania,,,,,,,"-21°46'38""",,2.403624732,,,,,,,,,,30,,,,,,,,"27 cp 49'50""",,,No,,,,,0.3015422,,,,,Asteroid
Hygiea,,,,,,,"5° 5'14""",,4.244080727,,,,,,"Hygiea represents health, wellness, hygiene, and preventive care. As the Greek goddess of health and daughter of Asclepius, this asteroid shows your approach to maintaining well-being, cleanliness, and bodily care. Hygiea reveals your attitudes toward health routines, self-care practices, diet, and exercise. It indicates where you may experience health issues or possess natural healing abilities. This placement shows your relationship with hygiene, organization of your physical environment, and holistic approaches to wellness. Hygiea emphasizes prevention over cure and the connection between mind, body, and spirit in maintaining health.","Health, Hygiene, Wellness, Preventive care, Self-care, Cleanliness, Healing, Diet, Exercise, Holistic health, Mind-body connection, Health routines, Sanitation, Organization, Vitality, Balance, Physical well-being",,,10,,,,,,,,"6 ar 5'45""",,,No,,,,,0.3488684,,,,,Asteroid
Eurydike,,,,,,,"6° 8' 2""",,2.549520195,,,,,,,,,,75,,,,,,,,"15 vi 39'33""",,,Yes,,,,,-0.1508587,,,,,Asteroid
Circe,,,,,,,"-9°59'59""",,1.529082372,,,,,,"Circe represents the enchantress energy of transformation, magic, and the power to transmute reality. As the daughter of Helios who turned men into swine, Circe shows where you possess transformative magical abilities, can cast illusions, and work with herbs and alchemy. This placement reveals your capacity for seduction, manipulation (for better or worse), and creating change through subtle influence. Circe indicates where you may feel isolated on your own island of power, work with shamanism and shape-shifting, and use your knowledge of potions and herbalism. It shows your hidden motivations and cunning abilities.","Enchantment, Magic, Transformation, Herbalism, Alchemy, Seduction, Manipulation, Cunning, Isolation, Witchcraft, Potions, Shape-shifting, Shamanism, Illusion, Hidden motives, Transmutation, Bewitchment",,,34,,,,,,,,"6 sc 23'58""",,,Yes,,,,,-0.2047061,,,,,Asteroid
Niobe,,,,,,,"-1° 6' 0""",,1.754822384,,,,,,,,,,71,,,,,,,,"23 le 17' 1""",,,Yes,,,,,-0.0072887,,,,,Asteroid
Hebe,,,,,,,"21°19'21""",,2.205191936,,,,,,,,,,6,,,,,,,,"9 le 20'17""",,,No,,,,,0.0922068,,,,,Asteroid
Pandora,,,,,,,"29° 3' 0""",,3.059351917,,,,,,,,,,55,,,,,,,,"17 ge 34'33""",,,No,,,,,0.370178,,,,,Asteroid
Klotho,,,,,,,"-9°53'48""",,2.903455374,,,,,,,,,,97,,,,,,,,"2 cp 43'28""",,,No,,,,,0.0590934,,,,,Asteroid
Hekate,,,,,,,"21°27' 9""",,3.717230355,,,,,,"Hekate (Hecate) represents crossroads, thresholds, magic, and liminal spaces between worlds. As the ancient Greek goddess of witchcraft, night, and necromancy, Hekate shows where you stand at life's pivotal crossroads and receive guidance from the unseen realms. This placement reveals your connection to magic, ability to navigate transitions, and power in threshold moments. Hekate indicates your relationship with the shadow, underworld journeys, and torch-bearing illumination through darkness. She represents the wise crone, keeper of keys, protector during danger, and guide through transformation. Hekate shows your capacity for divination, herbalism, and working with the spirits of the dead.","Crossroads, Witchcraft, Magic, Thresholds, Liminal spaces, Necromancy, Night, Torch-bearer, Transitions, Shadow work, Underworld, Keys, Protection, Divination, Herbs, Triple goddess, Crone wisdom, Spirit guide",,,100,,,,,,,,"3 cn 53'43""",,,No,,,,,0.1974278,,,,,Asteroid
Kassandra,,,,,,,"19°26'51""",,2.716518474,,,,,,,,,,114,,,,,,,,"22 ge 46'28""",,,No,,,,,0.3812484,,,,,Asteroid
Nemesis,,,,,,,"24°43'19""",,2.461365094,,,,,,"Represents divine retribution, justice, and karmic balance. As the goddess of revenge against hubris and undeserved good fortune, Nemesis shows where you seek fairness, balance the scales, and respond to injustice. This asteroid reveals your relationship to righteous anger, the consequences of arrogance, and the restoration of cosmic order. It can indicate where you act as an agent of karma or experience karmic correction.","Revenge, Justice, Karma, Retribution, Balance, Hubris, Divine punishment, Fairness, Consequences, Righteous anger, Equilibrium, Cosmic order, Rebalancing, Humility, Downfall of the proud",,,128,,,,,,,,"9 le 29'58""",,,No,,,,,0.08353,,,,,Asteroid
Terpsichore,,,,,,,"-31°38' 8""",,2.994506406,,,,,,,,,,81,,,,,,,,"10 cp 5'28""",,,No,,,,,0.1099421,,,,,Asteroid
Sappho,,,,,,,"12°50'59""",,2.386295159,,,,,,,,,,80,,,,,,,,"19 cn 15'33""",,,No,,,,,0.2402298,,,,,Asteroid
Diana,,,,,,,"-34°17' 9""",,2.219619077,,,,,,"Embodies independence, wilderness, and fierce protection. As the Roman goddess of the hunt (Greek Artemis), Diana represents self-sufficiency, connection to nature, and the protection of women and children. She shows where you value autonomy, feel most connected to the wild, and defend those who cannot defend themselves. Diana energy is virginal not in the sexual sense, but as 'belonging to oneself.'","Independence, Wilderness, Hunting, Protection, Autonomy, Nature, Chastity, Self-sufficiency, Fierce femininity, Animals, Moon, Sisterhood, Boundaries, Freedom, Untamed spirit",,,78,,,,,,,,"24 sa 27'14""",,,No,,,,,0.034275,,,,,Asteroid
Lachesis,,,,,,,"12° 2'20""",,4.29307528,,,,,,,,,,120,,,,,,,,"22 ar 28' 1""",,,No,,,,,0.3516958,,,,,Asteroid
Hera,,,,,,,"-17°41' 4""",,2.281620291,,,,,,"Embodies commitment, jealousy, and the challenges of partnership. As Zeus's wife and queen of the gods, Hera represents marital fidelity, legitimate power through relationship, and the pain of betrayal. This asteroid shows where you seek committed partnership, may struggle with jealousy or possessiveness, and demand loyalty. It reveals your relationship to marriage as an institution and the power dynamics within committed unions.","Marriage, Commitment, Jealousy, Fidelity, Partnership, Queen, Betrayal, Loyalty, Possessiveness, Legitimate power, Marital rage, Sacred union, Wife, Dedication, Relationship challenges",,,103,,,,,,,,"13 cp 54' 3""",,,No,,,,,0.2166586,,,,,Asteroid
Minerva,,,,,,,"30°10'37""",,3.590178774,,,,,,"Represents wisdom, strategic warfare, and intellectual craft. As the Roman goddess of wisdom (Greek Athena), Minerva embodies rational intelligence, strategic thinking, and the civilizing arts. This asteroid shows where you apply logic and strategy, defend truth and justice, and excel in practical skills. It reveals your relationship to intellectual pursuits, defensive action, and the wise application of knowledge.","Wisdom, Strategy, Intelligence, Craftsmanship, Warfare, Logic, Practical skills, Justice, Mental acuity, Weaving, Defensive action, Civilization, Rational thought, Patronage, Skill",,,93,,,,,,,,"16 ge 20'12""",,,No,,,,,0.2913719,,,,,Asteroid
Magdalena,,,,,,,"15°46' 5""",,3.074464929,,,,,,,,,,318,,,,,,,,"5 cn 18'47""",,,No,,,,,0.262695,,,,,Asteroid
Siwa,,,,,,,"10°30'12""",,3.61562331,,,,,,,,,,140,,,,,,,,"3 ta 8'23""",,,No,,,,,0.433157,,,,,Asteroid
Industria,,,,,,,"7°35'27""",,1.858100509,,,,,,,,,,389,,,,,,,,"15 le 55' 5""",,,No,,,,,0.0829356,,,,,Asteroid
Ophelia,,,,,,,"-13°30'33""",,4.008077906,,,,,,,,,,171,,,,,,,,"27 aq 25'49""",,,No,,,,,0.2702984,,,,,Asteroid
Atropos,,,,,,,"2°26'44""",,1.660027027,,,,,,,,,,273,,,,,,,,"12 cp 41'59""",,,No,,,,,0.3566533,,,,,Asteroid
